pair_id,index_symbol,carrier,leg,horizon,index_row,timestamp,direction
000852.SH:R1_A:352316:352315,000852.SH,512100.SH,event,60,352376,2021-01-13T13:16:00+08:00,1
000852.SH:R1_A:352316:352315,000852.SH,512100.SH,event,120,352436,2021-01-13T14:16:00+08:00,1
000852.SH:R1_A:352316:352315,000852.SH,512100.SH,event,240,352556,2021-01-14T10:46:00+08:00,1
000852.SH:R1_A:352316:352315,000852.SH,512100.SH,control,0,352315,2021-01-13T10:45:00+08:00,1
000852.SH:R1_A:352316:352315,000852.SH,512100.SH,control,1,352316,2021-01-13T10:46:00+08:00,1
000852.SH:R1_A:352316:352315,000852.SH,512100.SH,control,5,352320,2021-01-13T10:50:00+08:00,1
000852.SH:R1_A:352316:352315,000852.SH,512100.SH,control,15,352330,2021-01-13T11:00:00+08:00,1
000852.SH:R1_A:352316:352315,000852.SH,512100.SH,control,30,352345,2021-01-13T11:15:00+08:00,1
000852.SH:R1_A:352316:352315,000852.SH,512100.SH,control,60,352375,2021-01-13T13:15:00+08:00,1
000852.SH:R1_A:352316:352315,000852.SH,512100.SH,control,120,352435,2021-01-13T14:15:00+08:00,1
000852.SH:R1_A:352316:352315,000852.SH,512100.SH,control,240,352555,2021-01-14T10:45:00+08:00,1
000852.SH:R1_A:352524:353711,000852.SH,512100.SH,event,0,352524,2021-01-14T10:14:00+08:00,1
000852.SH:R1_A:352524:353711,000852.SH,512100.SH,event,1,352525,2021-01-14T10:15:00+08:00,1
000852.SH:R1_A:352524:353711,000852.SH,512100.SH,event,5,352529,2021-01-14T10:19:00+08:00,1
000852.SH:R1_A:352524:353711,000852.SH,512100.SH,event,15,352539,2021-01-14T10:29:00+08:00,1
000852.SH:R1_A:352524:353711,000852.SH,512100.SH,event,30,352554,2021-01-14T10:44:00+08:00,1
000852.SH:R1_A:352524:353711,000852.SH,512100.SH,event,60,352584,2021-01-14T11:14:00+08:00,1
000852.SH:R1_A:352524:353711,000852.SH,512100.SH,event,120,352644,2021-01-14T13:44:00+08:00,1
000852.SH:R1_A:352524:353711,000852.SH,512100.SH,event,240,352764,2021-01-15T10:14:00+08:00,1
000852.SH:R1_A:352524:353711,000852.SH,512100.SH,control,0,353711,2021-01-21T10:01:00+08:00,1
000852.SH:R1_A:352524:353711,000852.SH,512100.SH,control,1,353712,2021-01-21T10:02:00+08:00,1
000852.SH:R1_A:352524:353711,000852.SH,512100.SH,control,5,353716,2021-01-21T10:06:00+08:00,1
000852.SH:R1_A:352524:353711,000852.SH,512100.SH,control,15,353726,2021-01-21T10:16:00+08:00,1
000852.SH:R1_A:352524:353711,000852.SH,512100.SH,control,30,353741,2021-01-21T10:31:00+08:00,1
000852.SH:R1_A:352524:353711,000852.SH,512100.SH,control,60,353771,2021-01-21T11:01:00+08:00,1
000852.SH:R1_A:352524:353711,000852.SH,512100.SH,control,120,353831,2021-01-21T13:31:00+08:00,1
000852.SH:R1_A:352524:353711,000852.SH,512100.SH,control,240,353951,2021-01-22T10:01:00+08:00,1
000852.SH:R1_A:352618:360298,000852.SH,512100.SH,event,0,352618,2021-01-14T13:18:00+08:00,-1
000852.SH:R1_A:352618:360298,000852.SH,512100.SH,event,1,352619,2021-01-14T13:19:00+08:00,-1
000852.SH:R1_A:352618:360298,000852.SH,512100.SH,event,5,352623,2021-01-14T13:23:00+08:00,-1
000852.SH:R1_A:352618:360298,000852.SH,512100.SH,event,15,352633,2021-01-14T13:33:00+08:00,-1
000852.SH:R1_A:352618:360298,000852.SH,512100.SH,event,30,352648,2021-01-14T13:48:00+08:00,-1
000852.SH:R1_A:352618:360298,000852.SH,512100.SH,event,60,352678,2021-01-14T14:18:00+08:00,-1
000852.SH:R1_A:352618:360298,000852.SH,512100.SH,event,120,352738,2021-01-15T09:48:00+08:00,-1
