SecurityID,DateTime,SettlementGroupID,SettlementID,LastPrice,PreSettlementPrice,PreClosePrice,PreOpenInterest,OpenPrice,HighPrice,LowPrice,Volume,Turnover,AveragePrice,OpenInterest,ClosePrice,SettlementPrice,UpperLimitPrice,LowerLimitPrice,PreDelta,CurrDelta,BidPrice1,BidPrice2,BidPrice3,BidPrice4,BidPrice5,BidVolume1,BidVolume2,BidVolume3,BidVolume4,BidVolume5,AskPrice1,AskPrice2,AskPrice3,AskPrice4,AskPrice5,AskVolume1,AskVolume2,AskVolume3,AskVolume4,AskVolume5,DerivedQuoteStatus
MO2306-C-6600,20221206093249400,SG01,1,375.6,368.8,375.8,118,375.6,375.6,375.6,1,37560,375.6,119,0,0,1040.2,0.2,0,0,375.6,367.2,367.0,365.8,365.4,1,12,12,6,7,378.8,379.0,380.4,380.8,384.4,17,12,4,6,6,EXECUTABLE
MO2306-C-6800,20221206093249400,SG01,1,294.2,294.2,294.2,208,0.0,0.0,0.0,0,0,294.2,208,0,0,965.6,0.2,0,0,285.8,285.0,284.2,283.0,282.8,1,7,24,24,5,295.0,298.0,298.2,299.4,299.6,1,6,24,24,6,EXECUTABLE
MO2306-C-7000,20221206093249400,SG01,1,229.2,223.2,229.2,533,0.0,0.0,0.0,0,0,229.2,533,0,0,894.6,0.2,0,0,221.0,220.4,219.8,219.6,218.0,18,2,18,12,35,228.6,230.2,230.6,231.4,231.6,1,6,5,36,34,EXECUTABLE
MO2306-C-7200,20221206093249400,SG01,1,183.2,171.6,183.2,210,0.0,0.0,0.0,0,0,183.2,210,0,0,843.0,0.2,0,0,168.4,168.0,167.8,167.6,166.6,1,12,12,13,6,177.2,178.2,178.4,178.8,179.2,1,5,12,18,36,EXECUTABLE
MO2306-P-6400,20221206093249400,SG01,1,353.6,344.6,353.6,243,0.0,0.0,0.0,0,0,353.6,243,0,0,1016.0,0.2,0,0,342.8,342.4,342.2,342.0,341.8,1,6,6,24,11,353.6,354.2,354.4,354.8,355.0,1,6,13,18,24,EXECUTABLE
MO2306-P-6600,20221206093249400,SG01,1,454.0,447.8,454.0,107,0.0,0.0,0.0,0,0,454.0,107,0,0,1119.2,0.2,0,0,444.4,443.6,443.2,443.0,442.0,1,6,12,17,30,455.2,455.4,455.8,457.6,457.8,1,1,6,12,36,EXECUTABLE
MO2306-P-6800,20221206093249400,SG01,1,564.4,564.4,564.4,73,0.0,0.0,0.0,0,0,564.4,73,0,0,1235.8,0.2,0,0,560.8,560.2,559.8,558.4,558.0,1,6,18,12,24,571.4,573.6,574.4,574.8,576.6,1,6,1,18,30,EXECUTABLE
MO2306-P-7000,20221206093249400,SG01,1,720.2,699.0,720.2,55,0.0,0.0,0.0,0,0,720.2,55,0,0,1370.4,27.6,0,0,690.0,689.8,689.6,689.0,688.4,6,7,24,6,5,703.6,706.8,707.0,708.2,708.4,1,12,18,12,24,EXECUTABLE
MO2306-P-7200,20221206093249400,SG01,1,1000.0,840.0,1000.0,44,0.0,0.0,0.0,0,0,1000.0,44,0,0,1511.4,168.6,0,0,836.6,834.8,833.8,833.4,832.0,10,12,6,18,30,852.8,853.4,853.6,853.8,854.0,1,6,12,18,12,EXECUTABLE
MO2306-P-7600,20221206093249400,SG01,1,1346.6,1161.8,1346.6,35,0.0,0.0,0.0,0,0,1346.6,35,0,0,1833.2,490.4,0,0,1159.4,1155.8,1154.0,1153.8,1153.2,10,12,12,18,4,1175.0,1175.4,1178.0,1179.8,1180.8,7,6,42,5,6,EXECUTABLE
MO2212-P-8000,20221206093249900,SG01,1,1547.4,1304.0,1547.4,128,0.0,0.0,0.0,0,0,1547.4,128,0,0,1975.4,632.6,0,0,1289.0,1288.8,1288.2,1286.6,1285.8,9,12,16,6,6,1298.4,1299.8,1300.0,1300.2,1300.4,12,6,10,6,2,EXECUTABLE
MO2303-C-8000,20221206093249900,SG01,1,21.4,21.4,21.4,290,0.0,0.0,0.0,0,0,21.4,290,0,0,692.8,0.2,0,0,20.4,20.0,19.6,2.6,0.6,6,63,4,2,2,21.8,22.0,22.2,22.4,22.6,6,13,18,12,18,EXECUTABLE
MO2303-P-8000,20221206093249900,SG01,1,1536.0,1379.6,1536.0,90,0.0,0.0,0.0,0,0,1536.0,90,0,0,2051.0,708.2,0,0,1375.8,1375.4,1375.2,1374.4,1374.2,6,12,28,16,6,1390.8,1392.0,1393.0,1394.6,1394.8,6,12,6,6,6,EXECUTABLE
MO2306-P-8000,20221206093249900,SG01,1,1764.6,1518.4,1764.6,49,0.0,0.0,0.0,0,0,1764.6,49,0,0,2189.8,847.0,0,0,1514.0,1510.8,1509.2,1507.4,1507.2,4,6,6,5,24,1529.0,1529.8,1532.2,1532.6,1533.6,6,18,6,12,18,EXECUTABLE
MO2212-C-6500,20221206093249900,SG01,1,234.0,231.8,231.8,1035,228.0,240.4,228.0,19,437560,230.295,1038,0,0,903.2,0.2,0,0,230.0,229.4,229.0,228.6,228.2,6,12,3,6,6,234.8,235.0,235.2,235.6,235.8,8,6,6,11,6,EXECUTABLE
MO2212-C-6700,20221206093249900,SG01,1,98.2,99.0,99.0,2860,90.2,103.0,90.2,161,1570420,97.542,2877,0,0,770.4,0.2,0,0,97.4,97.0,96.8,96.6,96.4,6,14,9,6,6,99.6,100.4,100.6,100.8,101.0,3,2,4,4,20,EXECUTABLE
MO2212-C-6900,20221206093249900,SG01,1,32.2,33.4,33.4,2833,30.0,35.2,29.4,169,560180,33.147,2882,0,0,704.8,0.2,0,0,32.4,32.0,31.8,31.6,31.2,1,7,23,11,21,32.8,33.4,33.8,34.4,34.6,10,17,29,6,6,EXECUTABLE
MO2212-C-7100,20221206093249900,SG01,1,9.8,9.8,9.8,1316,8.6,10.6,8.6,96,95500,9.948,1309,0,0,681.2,0.2,0,0,9.8,9.6,9.4,9.2,8.8,15,43,3,6,2,10.0,10.2,10.4,10.6,15.8,18,37,15,1,1,EXECUTABLE
MO2212-P-5900,20221206093249900,SG01,1,1.0,1.2,1.2,1025,1.0,1.0,1.0,3,300,1.0,1023,0,0,672.6,0.2,0,0,1.0,0.8,0.6,0.0,0.0,7,58,3,0,0,1.2,1.4,1.6,0.0,0.0,30,33,7,0,0,EXECUTABLE
MO2212-P-6300,20221206093249900,SG01,1,5.6,6.0,6.0,2206,6.0,7.0,5.4,48,27040,5.633,2206,0,0,677.4,0.2,0,0,5.8,5.6,5.0,2.0,1.2,25,55,3,1,1,6.2,6.4,6.6,8.0,10.4,55,24,1,1,1,EXECUTABLE
MO2212-P-6500,20221206093249900,SG01,1,25.8,25.0,25.0,1729,28.0,28.2,23.4,141,357200,25.333,1722,0,0,696.4,0.2,0,0,25.0,24.8,24.6,24.4,24.2,22,9,7,28,26,26.0,26.2,26.4,26.6,26.8,11,4,6,8,13,EXECUTABLE
MO2212-P-6700,20221206093249900,SG01,1,92.2,95.6,95.6,3590,100.2,100.2,87.4,122,1117240,91.577,3596,0,0,767.0,0.2,0,0,90.6,90.2,90.0,89.6,89.0,4,2,10,18,15,92.6,92.8,93.0,93.2,93.4,6,6,13,6,1,EXECUTABLE
MO2212-P-6900,20221206093249900,SG01,1,228.8,227.0,227.0,196,228.8,228.8,228.8,1,22880,228.8,196,0,0,898.4,0.2,0,0,223.0,222.4,222.0,221.8,221.6,12,6,10,6,6,227.6,229.0,229.2,229.4,229.6,6,20,1,4,6,EXECUTABLE
MO2212-P-7100,20221206093249900,SG01,1,415.6,411.2,415.6,61,0.0,0.0,0.0,0,0,415.6,61,0,0,1082.6,0.2,0,0,398.6,398.2,398.0,397.6,397.4,6,13,19,2,12,406.2,407.2,407.6,408.0,408.6,6,6,4,7,8,EXECUTABLE
MO2309-C-5800,20221206093249900,SG01,1,871.8,871.8,871.8,129,0.0,0.0,0.0,0,0,871.8,129,0,0,1543.2,200.4,0,0,854.8,854.2,853.8,853.2,852.0,1,12,5,3,36,871.6,872.0,873.6,874.0,874.6,6,6,5,30,6,EXECUTABLE
MO2309-C-6000,20221206093249900,SG01,1,740.8,732.4,740.8,132,0.0,0.0,0.0,0,0,740.8,132,0,0,1403.8,61.0,0,0,728.6,726.4,725.8,723.8,723.4,2,5,18,24,12,745.8,746.0,746.4,746.6,746.8,8,1,11,24,3,EXECUTABLE
MO2309-C-6200,20221206093249900,SG01,1,609.0,615.2,609.0,149,0.0,0.0,0.0,0,0,609.0,149,0,0,1286.6,0.2,0,0,614.4,610.8,608.8,608.6,608.0,1,6,29,18,24,627.8,628.0,628.2,630.6,631.0,6,2,13,11,30,EXECUTABLE
MO2309-C-6400,20221206093249900,SG01,1,549.0,509.2,549.0,157,0.0,0.0,0.0,0,0,549.0,157,0,0,1180.6,0.2,0,0,510.6,509.8,508.2,507.4,506.8,1,1,6,23,24,522.8,523.2,523.6,524.2,524.8,1,8,17,18,24,EXECUTABLE
MO2309-C-6600,20221206093249900,SG01,1,427.0,419.8,427.0,170,0.0,0.0,0.0,0,0,427.0,170,0,0,1091.2,0.2,0,0,422.4,419.2,418.4,417.8,417.4,1,1,11,24,30,431.2,431.8,432.8,433.4,434.8,2,17,33,12,6,EXECUTABLE
MO2309-C-6800,20221206093249900,SG01,1,346.0,340.6,346.0,139,0.0,0.0,0.0,0,0,346.0,139,0,0,1012.0,0.2,0,0,342.2,341.0,339.6,339.4,339.2,1,1,5,36,18,350.4,352.8,353.0,353.6,353.8,1,8,3,29,30,EXECUTABLE
MO2309-C-7000,20221206093249900,SG01,1,279.0,277.4,279.0,200,0.0,0.0,0.0,0,0,279.0,200,0,0,948.8,0.2,0,0,273.4,272.8,272.6,270.8,270.4,1,6,12,27,24,284.2,285.0,286.6,287.6,288.0,1,8,12,3,35,EXECUTABLE
MO2309-P-6600,20221206093249900,SG01,1,578.4,577.0,578.4,46,0.0,0.0,0.0,0,0,578.4,46,0,0,1248.4,0.2,0,0,569.4,569.2,569.0,568.4,567.0,6,3,1,29,9,581.8,586.4,586.8,587.0,587.6,1,5,24,30,9,EXECUTABLE
MO2309-P-6800,20221206093249900,SG01,1,675.8,691.0,675.8,36,0.0,0.0,0.0,0,0,675.8,36,0,0,1362.4,19.6,0,0,686.2,685.8,684.0,683.4,683.2,9,12,27,17,6,700.0,704.8,705.0,706.6,707.0,1,17,12,36,6,EXECUTABLE
