contract_code,option_type,strike,expiry,timestamp,bid1,bid1_size,ask1,ask1_size,last_price,volume,open_interest,trading_status
MO2212-P-6900,P,6900.0,2022-12-16,2022-12-06 09:32:49.9,223.0,12,227.6,6,228.8,1,196,TRADING
MO2212-P-7100,P,7100.0,2022-12-16,2022-12-06 09:32:49.9,398.6,6,406.2,6,415.6,0,61,TRADING
MO2309-C-5800,C,5800.0,2023-09-15,2022-12-06 09:32:49.9,854.8,1,871.6,6,871.8,0,129,TRADING
MO2309-C-6000,C,6000.0,2023-09-15,2022-12-06 09:32:49.9,728.6,2,745.8,8,740.8,0,132,TRADING
MO2309-C-6200,C,6200.0,2023-09-15,2022-12-06 09:32:49.9,614.4,1,627.8,6,609.0,0,149,TRADING
MO2309-C-6400,C,6400.0,2023-09-15,2022-12-06 09:32:49.9,510.6,1,522.8,1,549.0,0,157,TRADING
MO2309-C-6600,C,6600.0,2023-09-15,2022-12-06 09:32:49.9,422.4,1,431.2,2,427.0,0,170,TRADING
MO2309-C-6800,C,6800.0,2023-09-15,2022-12-06 09:32:49.9,342.2,1,350.4,1,346.0,0,139,TRADING
MO2309-C-7000,C,7000.0,2023-09-15,2022-12-06 09:32:49.9,273.4,1,284.2,1,279.0,0,200,TRADING
MO2309-P-6600,P,6600.0,2023-09-15,2022-12-06 09:32:49.9,569.4,6,581.8,1,578.4,0,46,TRADING
MO2309-P-6800,P,6800.0,2023-09-15,2022-12-06 09:32:49.9,686.2,9,700.0,1,675.8,0,36,TRADING
MO2309-P-7000,P,7000.0,2023-09-15,2022-12-06 09:32:49.9,815.6,6,828.8,1,818.6,0,47,TRADING
MO2212-C-5700,C,5700.0,2022-12-16,2022-12-06 09:32:49.9,1000.6,16,1009.8,6,1015.2,0,53,TRADING
MO2303-C-5600,C,5600.0,2023-03-17,2022-12-06 09:32:49.9,1042.2,6,1055.2,18,1052.0,0,66,TRADING
MO2303-P-5600,P,5600.0,2023-03-17,2022-12-06 09:32:49.9,25.6,10,28.4,28,31.2,0,134,TRADING
MO2306-C-5600,C,5600.0,2023-06-16,2022-12-06 09:32:49.9,1000.4,12,1018.2,4,999.6,0,32,TRADING
MO2309-C-5600,C,5600.0,2023-09-15,2022-12-06 09:32:49.9,1001.0,1,1019.6,8,934.4,0,116,TRADING
MO2309-P-5600,P,5600.0,2023-09-15,2022-12-06 09:32:49.9,177.0,1,184.6,6,181.8,0,155,TRADING
MO2212-C-5600,C,5600.0,2022-12-16,2022-12-06 09:32:49.9,1100.8,6,1109.8,6,1116.8,0,48,TRADING
MO2303-P-8200,P,8200.0,2023-03-17,2022-12-06 09:32:49.9,1567.2,4,1583.2,6,1571.8,0,103,TRADING
MO2306-P-8200,P,8200.0,2023-06-16,2022-12-06 09:32:49.9,1698.6,4,1713.2,6,1802.8,0,42,TRADING
MO2212-C-5800,C,5800.0,2022-12-16,2022-12-06 09:32:49.9,901.4,6,911.0,9,917.6,0,34,TRADING
MO2212-P-5800,P,5800.0,2022-12-16,2022-12-06 09:32:49.9,0.6,56,1.0,25,1.0,0,516,TRADING
MO2303-C-5800,C,5800.0,2023-03-17,2022-12-06 09:32:49.9,862.8,6,875.4,6,876.0,0,101,TRADING
MO2306-C-5800,C,5800.0,2023-06-16,2022-12-06 09:32:49.9,843.4,6,863.2,5,898.0,0,100,TRADING
MO2212-C-6000,C,6000.0,2022-12-16,2022-12-06 09:32:49.9,703.6,6,710.0,6,708.6,0,58,TRADING
MO2303-C-6000,C,6000.0,2023-03-17,2022-12-06 09:32:49.9,695.2,12,708.0,6,703.0,0,120,TRADING
MO2303-P-6000,P,6000.0,2023-03-17,2022-12-06 09:32:49.9,75.0,1,79.2,18,77.2,0,181,TRADING
MO2306-C-6000,C,6000.0,2023-06-16,2022-12-06 09:32:49.9,702.4,7,718.0,16,708.0,0,123,TRADING
MO2306-P-6000,P,6000.0,2023-06-16,2022-12-06 09:32:49.9,192.2,1,201.0,1,194.6,0,112,TRADING
MO2212-C-5900,C,5900.0,2022-12-16,2022-12-06 09:32:49.9,802.8,6,810.4,3,796.2,0,45,TRADING
MO2212-C-6100,C,6100.0,2022-12-16,2022-12-06 09:32:49.9,604.6,6,611.4,3,594.0,0,107,TRADING
MO2212-C-6300,C,6300.0,2022-12-16,2022-12-06 09:32:49.9,409.2,6,415.0,6,401.0,0,204,TRADING
MO2212-C-5500,C,5500.0,2022-12-16,2022-12-06 09:32:49.9,1201.2,6,1209.2,6,1196.0,0,42,TRADING
MO2303-C-5400,C,5400.0,2023-03-17,2022-12-06 09:32:49.9,1228.6,6,1242.0,6,1236.0,0,37,TRADING
MO2303-P-5400,P,5400.0,2023-03-17,2022-12-06 09:32:49.9,15.4,1,15.8,6,15.4,0,138,TRADING
MO2306-C-5400,C,5400.0,2023-06-16,2022-12-06 09:32:49.9,1169.8,6,1186.6,22,1115.0,0,46,TRADING
MO2309-C-5400,C,5400.0,2023-09-15,2022-12-06 09:32:49.9,1149.2,6,1173.0,8,1161.0,0,92,TRADING
MO2309-P-5400,P,5400.0,2023-09-15,2022-12-06 09:32:49.9,133.6,1,140.2,12,139.6,0,61,TRADING
MO2212-C-7500,C,7500.0,2022-12-16,2022-12-06 09:32:49.9,1.2,56,1.6,43,1.2,0,211,TRADING
MO2212-P-7500,P,7500.0,2022-12-16,2022-12-06 09:32:49.9,790.8,6,799.4,6,913.0,0,13,TRADING
MO2301-P-7500,P,7500.0,2023-01-20,2022-12-06 09:32:49.9,819.2,6,830.0,12,837.2,0,13,TRADING
MO2309-C-7600,C,7600.0,2023-09-15,2022-12-06 09:32:49.9,137.8,1,143.0,1,139.2,1,195,TRADING
MO2212-C-5300,C,5300.0,2022-12-16,2022-12-06 09:32:49.9,1400.2,6,1409.8,6,1367.0,0,39,TRADING
MO2212-C-5400,C,5400.0,2022-12-16,2022-12-06 09:32:49.9,1300.4,10,1309.8,6,1266.2,0,41,TRADING
MO2303-C-5200,C,5200.0,2023-03-17,2022-12-06 09:32:49.9,1419.8,6,1434.2,6,1452.4,0,32,TRADING
MO2303-P-5200,P,5200.0,2023-03-17,2022-12-06 09:32:49.9,9.2,6,9.6,6,9.2,5,277,TRADING
MO2306-C-5200,C,5200.0,2023-06-16,2022-12-06 09:32:49.9,1344.8,6,1363.4,6,1236.6,0,34,TRADING
MO2309-C-5200,C,5200.0,2023-09-15,2022-12-06 09:32:49.9,1312.4,6,1329.8,6,1330.2,0,99,TRADING
MO2301-C-5600,C,5600.0,2023-01-20,2022-12-06 09:32:49.9,1083.0,6,1093.6,6,903.0,0,38,TRADING
MO2301-C-7400,C,7400.0,2023-01-20,2022-12-06 09:32:49.9,19.0,6,20.4,6,18.8,1,232,TRADING
MO2212-P-5600,P,5600.0,2022-12-16,2022-12-06 09:32:49.9,0.6,3,0.8,16,0.8,0,324,TRADING
MO2301-C-5700,C,5700.0,2023-01-20,2022-12-06 09:32:49.9,985.4,6,996.6,12,968.2,0,8,TRADING
MO2301-C-5800,C,5800.0,2023-01-20,2022-12-06 09:32:49.9,888.4,6,899.4,18,918.0,0,23,TRADING
MO2301-C-5900,C,5900.0,2023-01-20,2022-12-06 09:32:49.9,793.0,6,802.8,6,805.4,0,29,TRADING
MO2301-C-6000,C,6000.0,2023-01-20,2022-12-06 09:32:49.9,698.4,13,709.0,6,718.8,0,36,TRADING
MO2301-C-6100,C,6100.0,2023-01-20,2022-12-06 09:32:49.9,608.0,6,618.6,6,626.8,0,21,TRADING
MO2301-C-6200,C,6200.0,2023-01-20,2022-12-06 09:32:49.9,519.4,6,530.0,6,520.0,0,47,TRADING
MO2301-C-6300,C,6300.0,2023-01-20,2022-12-06 09:32:49.9,438.6,1,446.4,6,439.0,0,94,TRADING
MO2301-C-6400,C,6400.0,2023-01-20,2022-12-06 09:32:49.9,362.2,1,366.8,1,363.0,0,82,TRADING
MO2301-C-6500,C,6500.0,2023-01-20,2022-12-06 09:32:49.9,294.8,6,297.6,6,296.0,1,191,TRADING
MO2301-C-6600,C,6600.0,2023-01-20,2022-12-06 09:32:49.9,234.2,6,237.2,6,237.0,3,254,TRADING
MO2301-C-6700,C,6700.0,2023-01-20,2022-12-06 09:32:49.9,181.0,6,184.8,6,180.0,5,446,TRADING
MO2301-C-6800,C,6800.0,2023-01-20,2022-12-06 09:32:49.9,138.8,6,141.2,6,140.6,0,277,TRADING
MO2301-C-6900,C,6900.0,2023-01-20,2022-12-06 09:32:49.9,102.4,6,105.8,6,106.6,0,193,TRADING
MO2301-C-7000,C,7000.0,2023-01-20,2022-12-06 09:32:49.9,75.8,6,78.0,6,78.0,0,274,TRADING
