entry_idx,info_idx,info_day,info_year,parent_direction,horizon,target_bp,parent_prediction_bp,enhanced_prediction_bp,parent_residual_bp,prediction_adjustment_bp,alignment_bp2,adjustment_square_bp2,loss_gain_bp2
85728,85727,2016-06-23,2016,1,120,64.2399806085825,-7.82555991837578,-0.929028495896991,72.0655405269583,6.89653142247879,994.004529444173,47.5621456612373,946.442383782935
85996,85995,2016-06-24,2016,-1,120,-147.176723185172,0.477267139290102,6.74157844522168,-147.653990324462,6.26431130593158,-1849.90112191088,39.2415961376222,-1889.1427180485
86054,86053,2016-06-24,2016,1,120,78.5660458353044,46.1315405048499,53.0140183723081,32.4345053304545,6.8824778674582,446.459530157616,47.368501596052,399.091028561564
86373,86372,2016-06-28,2016,1,120,50.066046537407,12.3151254020002,19.1343663269239,37.7509211354068,6.8192409249237,514.865252720266,46.5020467921542,468.363205928112
86509,86508,2016-06-28,2016,1,120,17.3393578109393,36.4040172696986,43.1152057982427,-19.0646594587593,6.7111885285441,-255.89304772045,45.0400514656619,-300.933099186112
86591,86590,2016-06-29,2016,1,120,-53.2788239463022,18.378685421402,25.4825787171539,-71.6575093677042,7.1038932957519,-1018.09460077503,50.4652999574288,-1068.55990073245
87638,87637,2016-07-05,2016,1,120,41.5825718313578,31.8344810950459,38.5551295497771,9.7480907363119,6.7206484547312,131.026981887148,45.1671156520809,85.8598662350673
87758,87757,2016-07-05,2016,1,120,-1.67212632745994,27.2573560835969,34.7149806930063,-28.9294824110568,7.4576246094094,-431.490439932348,55.6161648148687,-487.106604747216
87976,87975,2016-07-06,2016,1,120,1.24365846225327,27.3986522657516,35.2588196215189,-26.1549938034983,7.8601673557673,-411.165256969107,61.7822308606699,-472.947487829777
88061,88060,2016-07-07,2016,1,120,29.5518676757967,2.66788355864494,9.54399727654116,26.8839841171518,6.87611371789622,369.714663959303,47.2809398614406,322.433724097862
88273,88272,2016-07-08,2016,1,120,35.3020848233454,16.2484969761549,23.4072826041338,19.0535878471905,7.1587856279789,272.801101683802,51.2482116673573,221.552890016444
88482,88481,2016-07-11,2016,1,120,18.047643996566,16.3640452780665,23.8714770066348,1.6835987184995,7.5074317285683,25.2790048748802,56.3615311591141,-31.0825262842339
88976,88975,2016-07-13,2016,-1,120,-80.8873605823446,-23.467960134591,-16.2942535206059,-57.4194004477536,7.1737066139851,-823.819865526218,51.4620665835336,-875.281932109752
