year,horizon,n,enhanced_indicator_raw_coefficient_bp,indicator_training_prevalence,centered_indicator_term_at_event_bp,centered_intercept_difference_bp,mean_total_prediction_adjustment_bp,mean_shared_feature_refit_remainder_bp,shared_feature_refit_remainder_sd_bp,shared_standardized_coefficient_change_l2,interpretation
2017,60,96,7.23878692403194,0.0304064633306194,7.0186810148682,0,6.95318551372444,-0.0654955011437596,0.32888704855555,0.419558958676014,identity_defined_remainder_not_independent_causal_indicator_effect
2017,120,96,18.6884564873407,0.0304637008219866,18.1191369400856,0,17.9508859755414,-0.168250964544205,0.849021338470003,1.08380517799718,identity_defined_remainder_not_independent_causal_indicator_effect
2017,240,96,5.62207166453951,0.0305788247149965,5.45015532057441,0,5.39907689651759,-0.0510784240568151,0.255831763204022,0.326445564121546,identity_defined_remainder_not_independent_causal_indicator_effect
2018,1,209,0.0215311733142134,0.01499522176626,0.021208308595479,0,0.0205149046995264,-0.000693403895952638,0.000831895593822794,0.000839131799145237,identity_defined_remainder_not_independent_causal_indicator_effect
2018,5,209,-6.4223729434745,0.0149960647627614,-6.32606262288355,0,-6.11923774069122,0.206824882192333,0.24813998136413,0.250304455245634,identity_defined_remainder_not_independent_causal_indicator_effect
2018,15,209,-1.27735517853529,0.014998172668747,-1.2581971850083,0,-1.21706419676756,0.0411329882407421,0.0493528649381093,0.049786453226911,identity_defined_remainder_not_independent_causal_indicator_effect
2018,30,209,-3.71844457255819,0.0150013356390681,-3.66266293746997,0,-3.54293469310555,0.119728244364425,0.143668186643085,0.144944167489883,identity_defined_remainder_not_independent_causal_indicator_effect
2018,60,209,4.77319403958149,0.0150076655836393,4.70155953966963,0,4.5479012104886,-0.153658329181029,0.184409342598043,0.186093256350842,identity_defined_remainder_not_independent_causal_indicator_effect
2018,120,209,12.9693619637556,0.0150203415121697,12.774557717865,0,12.357196606674,-0.417361111191075,0.501026092305876,0.505834898785462,identity_defined_remainder_not_independent_causal_indicator_effect
2018,240,209,2.42306537832161,0.0150457577167675,2.3866085237075,0,2.3086597662903,-0.0779487574171971,0.0935958613754597,0.0945705175707715,identity_defined_remainder_not_independent_causal_indicator_effect
2019,1,201,0.152434535875278,0.0131119240412676,0.150435825819615,0,0.146574918860428,-0.00386090695918787,0.00500143069431315,0.00520652104643358,identity_defined_remainder_not_independent_causal_indicator_effect
2019,5,201,-5.33291000631743,0.0131119240412676,-5.26298529539568,0,-5.12791177522595,0.135073520169733,0.174974651527976,0.182149721040553,identity_defined_remainder_not_independent_causal_indicator_effect
2019,15,201,-0.0876003907842091,0.0131119240412676,-0.0864517811142612,0,-0.0842330125362333,0.00221876857802793,0.00287419960828591,0.00299206000578769,identity_defined_remainder_not_independent_causal_indicator_effect
2019,30,201,-0.652155516399508,0.0131119240412676,-0.643604502805384,0,-0.627086515216274,0.0165179875891103,0.0213974516893928,0.0222748828025469,identity_defined_remainder_not_independent_causal_indicator_effect
2019,60,201,7.13884009205838,0.0131119240412676,7.04523616302855,0,6.86442151211172,-0.18081465091683,0.234227852324929,0.243832678552819,identity_defined_remainder_not_independent_causal_indicator_effect
2019,120,201,15.3185829762681,0.0131119240412676,15.1177268798634,0,14.7297332845908,-0.387993595272653,0.502608091079678,0.523218207799948,identity_defined_remainder_not_independent_causal_indicator_effect
2019,240,201,6.77146521876975,0.0131116184364781,6.68268035056536,0,6.51083194249677,-0.17184840806859,0.22235160078626,0.231377299958499,identity_defined_remainder_not_independent_causal_indicator_effect
2020,1,275,0.346454863486109,0.0118175126416181,0.342360628757112,0,0.333860045757253,-0.00850058299985834,0.00991550736578491,0.010146410093876,identity_defined_remainder_not_independent_causal_indicator_effect
2020,5,275,-4.26520676207827,0.0118175126416181,-4.21480262724829,0,-4.1101519269297,0.104650700318593,0.12206983801709,0.124912482127572,identity_defined_remainder_not_independent_causal_indicator_effect
2020,15,275,0.656551663155821,0.0118175126416181,0.648792855576602,0,0.632683767511873,-0.0161090880647288,0.0187904501802461,0.0192280239773924,identity_defined_remainder_not_independent_causal_indicator_effect
2020,30,275,1.68768084154228,0.0118175126416181,1.66773665186234,0,1.62632787807159,-0.0414087737907484,0.048301275516883,0.0494260688205135,identity_defined_remainder_not_independent_causal_indicator_effect
