horizon,group,field,absolute_error
1,YEAR_2017_LONG,zero_forecast_mse_bp2,8.88178419700125e-16
1,YEAR_2017_SHORT,enhanced_mae_bp,3.5527136788005e-15
1,YEAR_2017_SHORT,enhanced_mean_error_bp,4.44089209850063e-16
1,YEAR_2017_SHORT,enhanced_mean_prediction_bp,3.46944695195361e-17
1,YEAR_2017_SHORT,enhanced_mse_bp2,1.06581410364015e-14
1,YEAR_2017_SHORT,enhanced_rmse_bp,8.88178419700125e-16
1,YEAR_2017_SHORT,mean_loss_improvement_bp2,1.31838984174237e-16
1,YEAR_2017_SHORT,median_loss_improvement_bp2,4.85722573273506e-17
1,YEAR_2017_SHORT,parent_mae_bp,0
1,YEAR_2017_SHORT,parent_mean_error_bp,1.11022302462516e-15
1,YEAR_2017_SHORT,parent_mean_prediction_bp,6.93889390390723e-17
1,YEAR_2017_SHORT,parent_mse_bp2,1.77635683940025e-14
1,YEAR_2017_SHORT,parent_rmse_bp,3.5527136788005e-15
1,YEAR_2017_SHORT,past_mean_forecast_mse_bp2,3.90798504668055e-14
1,YEAR_2017_SHORT,positive_loss_improvement_fraction,4.44089209850063e-16
1,YEAR_2017_SHORT,relative_mse_reduction,4.02889527295613e-16
1,YEAR_2017_SHORT,target_mean_bp,1.55431223447522e-15
1,YEAR_2017_SHORT,target_median_bp,0
1,YEAR_2017_SHORT,zero_forecast_mse_bp2,4.9737991503207e-14
1,YEAR_2018_LONG,enhanced_mae_bp,8.88178419700125e-16
1,YEAR_2018_LONG,enhanced_mean_error_bp,9.99200722162641e-16
1,YEAR_2018_LONG,enhanced_mean_prediction_bp,5.03069808033274e-17
1,YEAR_2018_LONG,enhanced_mse_bp2,2.8421709430404e-14
1,YEAR_2018_LONG,enhanced_rmse_bp,0
1,YEAR_2018_LONG,mean_loss_improvement_bp2,6.93889390390723e-17
1,YEAR_2018_LONG,median_loss_improvement_bp2,5.16947595841089e-16
1,YEAR_2018_LONG,parent_mae_bp,8.88178419700125e-16
1,YEAR_2018_LONG,parent_mean_error_bp,7.7715611723761e-16
1,YEAR_2018_LONG,parent_mean_prediction_bp,4.85722573273506e-17
1,YEAR_2018_LONG,parent_mse_bp2,2.48689957516035e-14
1,YEAR_2018_LONG,parent_rmse_bp,7.105427357601e-15
1,YEAR_2018_LONG,past_mean_forecast_mse_bp2,3.90798504668055e-14
1,YEAR_2018_LONG,positive_loss_improvement_fraction,4.44089209850063e-16
1,YEAR_2018_LONG,relative_mse_reduction,1.5482407023093e-16
1,YEAR_2018_LONG,target_mean_bp,6.66133814775094e-16
1,YEAR_2018_LONG,target_median_bp,0
1,YEAR_2018_LONG,zero_forecast_mse_bp2,7.105427357601e-15
1,YEAR_2018_SHORT,enhanced_mae_bp,4.44089209850063e-16
