carrier,study,horizon,group,old_n,new_n,gate_pass_after_known_patch,membership_changed,etf_event_old_mean_bp,etf_event_new_mean_bp,etf_event_mean_change_bp,etf_control_old_mean_bp,etf_control_new_mean_bp,etf_control_mean_change_bp,etf_incremental_old_mean_bp,etf_incremental_new_mean_bp,etf_incremental_mean_change_bp
512100.SH,published_endpoint,15,ALL,1268,1268,True,False,5.00668422871865,5.00668422871865,0,0.638323083178089,0.638323083178089,0,4.36836114554057,4.36836114554057,0
512100.SH,published_endpoint,15,2021,165,165,True,False,7.30860940650519,7.30860940650519,0,7.40134100581209,7.40134100581209,0,-0.0927315993068932,-0.0927315993068932,0
512100.SH,published_endpoint,15,2022,303,303,True,False,6.38071807442807,6.38071807442807,0,3.04591463626778,3.04591463626778,0,3.33480343816031,3.33480343816031,0
512100.SH,published_endpoint,15,2023,178,178,True,False,1.76540702122388,1.76540702122388,0,1.19490164820545,1.19490164820545,0,0.570505373018409,0.570505373018409,0
512100.SH,published_endpoint,15,2024,373,373,True,False,6.91990864982438,6.91990864982438,0,-1.69161467419052,-1.69161467419052,0,8.61152332401492,8.61152332401492,0
512100.SH,published_endpoint,15,2025,249,249,True,False,1.26035782019215,1.26035782019215,0,-3.6805620529551,-3.6805620529551,0,4.94091987314723,4.94091987314723,0
512100.SH,published_endpoint,15,LONG,612,612,True,False,4.62122977553167,4.62122977553167,0,-0.173982016858111,-0.173982016858111,0,4.79521179238979,4.79521179238979,0
512100.SH,published_endpoint,15,SHORT,656,656,True,False,5.36628502955772,5.36628502955772,0,1.39614430455332,1.39614430455332,0,3.9701407250044,3.9701407250044,0
512100.SH,published_endpoint,30,ALL,1259,1259,True,False,7.73913096311034,7.73913096311034,0,0.665334278369678,0.665334278369678,0,7.07379668474066,7.07379668474066,0
512100.SH,published_endpoint,30,2021,159,159,True,False,9.71135179234973,9.71135179234973,0,8.4542024020673,8.4542024020673,0,1.25714939028244,1.25714939028244,0
512100.SH,published_endpoint,30,2022,301,301,True,False,12.494900293174,12.494900293174,0,3.14580107374568,3.14580107374568,0,9.34909921942828,9.34909921942828,0
512100.SH,published_endpoint,30,2023,178,178,True,False,4.47523640151092,4.47523640151092,0,3.228796894166,3.228796894166,0,1.24643950734494,1.24643950734494,0
512100.SH,published_endpoint,30,2024,373,373,True,False,8.54598367970535,8.54598367970535,0,-3.46531512740084,-3.46531512740084,0,12.0112988071062,12.0112988071062,0
512100.SH,published_endpoint,30,2025,248,248,True,False,1.83166115858027,1.83166115858027,0,-2.9661764245958,-2.9661764245958,0,4.79783758317607,4.79783758317607,0
512100.SH,published_endpoint,30,LONG,608,608,True,False,6.27010365401101,6.27010365401101,0,0.0326793919443468,0.0326793919443468,0,6.23742426206668,6.23742426206668,0
512100.SH,published_endpoint,30,SHORT,651,651,True,False,9.11112574641662,9.11112574641662,0,1.25620090040747,1.25620090040747,0,7.85492484600914,7.85492484600914,0
