pair_id,event_day,side,old_eligible,old_reason,new_eligible,new_reason
000852.SH:R1_A:370962:384169,2021-05-14,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:371232:371231,2021-05-17,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:371479:371478,2021-05-18,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:371942:371941,2021-05-20,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:372169:384165,2021-05-21,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:372417:372416,2021-05-24,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:372490:353292,2021-05-24,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:373136:373135,2021-05-27,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:373598:373597,2021-05-28,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:373913:373912,2021-06-01,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:374123:364044,2021-06-02,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:374494:374481,2021-06-03,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:374667:354996,2021-06-04,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:375143:375142,2021-06-08,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:375822:375821,2021-06-11,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:376046:387311,2021-06-15,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:376287:394753,2021-06-16,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:376459:364452,2021-06-16,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:376558:366245,2021-06-17,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:376962:377213,2021-06-21,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:377729:377728,2021-06-24,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:378398:378394,2021-06-28,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:378459:389497,2021-06-29,LONG,False,event_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute
000852.SH:R1_A:378907:378906,2021-07-01,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:379135:399063,2021-07-02,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:379214:404439,2021-07-02,SHORT,False,event_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute
000852.SH:R1_A:379842:355122,2021-07-07,SHORT,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:380111:380110,2021-07-08,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:380205:400852,2021-07-08,LONG,False,event_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute
000852.SH:R1_A:380598:380597,2021-07-12,LONG,True,complete_common_path,True,complete_common_path
000852.SH:R1_A:380752:375717,2021-07-12,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:380847:381802,2021-07-13,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:381049:365700,2021-07-14,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:381122:362640,2021-07-14,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:381224:396847,2021-07-14,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:381287:387787,2021-07-15,LONG,False,event_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute
000852.SH:R1_A:381526:360898,2021-07-16,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
