pair_id,index_symbol,event_day,control_day,side,horizon,event_entry_timestamp,event_entry_status,event_exit_timestamp,event_exit_status,event_action_crossing,control_entry_timestamp,control_entry_status,control_exit_timestamp,control_exit_status,control_action_crossing,old_eligible,old_reason,new_eligible,new_reason,membership_changed,reason_changed,new_action_crossing,unit_bridge_crossing,on_new_halt_endpoint,carrier
000852.SH:R1_A:351542:355126,000852.SH,2021-01-08,2021-01-29,SHORT,240,2021-01-08T09:52:00+08:00,valid,2021-01-11T09:52:00+08:00,valid,False,2021-01-29T09:36:00+08:00,valid,2021-02-01T09:36:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:351659:361242,000852.SH,2021-01-08,2021-03-12,LONG,1,2021-01-08T13:19:00+08:00,recorded_zero_volume,2021-01-08T13:20:00+08:00,recorded_zero_volume,False,2021-03-12T13:02:00+08:00,valid,2021-03-12T13:03:00+08:00,valid,False,False,event_entry:recorded_zero_volume;event_exit:recorded_zero_volume,False,event_entry:recorded_zero_volume;event_exit:recorded_zero_volume,False,False,False,False,False,512100.SH
000852.SH:R1_A:351659:361242,000852.SH,2021-01-08,2021-03-12,LONG,5,2021-01-08T13:19:00+08:00,recorded_zero_volume,2021-01-08T13:24:00+08:00,valid,False,2021-03-12T13:02:00+08:00,valid,2021-03-12T13:07:00+08:00,valid,False,False,event_entry:recorded_zero_volume,False,event_entry:recorded_zero_volume,False,False,False,False,False,512100.SH
000852.SH:R1_A:351659:361242,000852.SH,2021-01-08,2021-03-12,LONG,15,2021-01-08T13:19:00+08:00,recorded_zero_volume,2021-01-08T13:34:00+08:00,valid,False,2021-03-12T13:02:00+08:00,valid,2021-03-12T13:17:00+08:00,valid,False,False,event_entry:recorded_zero_volume,False,event_entry:recorded_zero_volume,False,False,False,False,False,512100.SH
000852.SH:R1_A:351659:361242,000852.SH,2021-01-08,2021-03-12,LONG,30,2021-01-08T13:19:00+08:00,recorded_zero_volume,2021-01-08T13:49:00+08:00,valid,False,2021-03-12T13:02:00+08:00,valid,2021-03-12T13:32:00+08:00,valid,False,False,event_entry:recorded_zero_volume,False,event_entry:recorded_zero_volume,False,False,False,False,False,512100.SH
000852.SH:R1_A:351659:361242,000852.SH,2021-01-08,2021-03-12,LONG,60,2021-01-08T13:19:00+08:00,recorded_zero_volume,2021-01-08T14:19:00+08:00,valid,False,2021-03-12T13:02:00+08:00,valid,2021-03-12T14:02:00+08:00,valid,False,False,event_entry:recorded_zero_volume,False,event_entry:recorded_zero_volume,False,False,False,False,False,512100.SH
000852.SH:R1_A:351659:361242,000852.SH,2021-01-08,2021-03-12,LONG,120,2021-01-08T13:19:00+08:00,recorded_zero_volume,2021-01-11T09:49:00+08:00,valid,False,2021-03-12T13:02:00+08:00,valid,2021-03-15T09:32:00+08:00,valid,False,False,event_entry:recorded_zero_volume,False,event_entry:recorded_zero_volume,False,False,False,False,False,512100.SH
000852.SH:R1_A:351659:361242,000852.SH,2021-01-08,2021-03-12,LONG,240,2021-01-08T13:19:00+08:00,recorded_zero_volume,2021-01-11T13:19:00+08:00,valid,False,2021-03-12T13:02:00+08:00,valid,2021-03-15T13:02:00+08:00,valid,False,False,event_entry:recorded_zero_volume,False,event_entry:recorded_zero_volume,False,False,False,False,False,512100.SH
000852.SH:R1_A:351781:392810,000852.SH,2021-01-11,2021-09-23,LONG,1,2021-01-11T09:51:00+08:00,valid,2021-01-11T09:52:00+08:00,valid,False,2021-09-23T09:40:00+08:00,valid,2021-09-23T09:41:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:351781:392810,000852.SH,2021-01-11,2021-09-23,LONG,5,2021-01-11T09:51:00+08:00,valid,2021-01-11T09:56:00+08:00,valid,False,2021-09-23T09:40:00+08:00,valid,2021-09-23T09:45:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
