source,symbol,trading_day,from_state,to_state,change_start_time,event_time,bar_ordinal_day,judge_center_eligible_ordinal,judge_available_eligible_ordinal,judge_available_event_time,matched,match_id,event_role,eligible_ordinal
independent_judge_center_v3,000852.SH,2016-01-21,Range,DownTrend,2016-01-21 13:40:00+08:00,2016-01-21 13:45:00+08:00,32,20.0,28.0,2016-01-21 14:25:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-01-27,Shock,UpTrend,2016-01-27 13:45:00+08:00,2016-01-27 13:50:00+08:00,33,21.0,29.0,2016-01-27 14:30:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-02-02,UpTrend,Range,2016-02-02 13:05:00+08:00,2016-02-02 13:10:00+08:00,25,13.0,21.0,2016-02-02 13:50:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-02-16,UpTrend,Range,2016-02-16 13:45:00+08:00,2016-02-16 13:50:00+08:00,33,21.0,29.0,2016-02-16 14:30:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-02-17,Range,UpTrend,2016-02-17 13:30:00+08:00,2016-02-17 13:35:00+08:00,30,18.0,26.0,2016-02-17 14:15:00+08:00,True,21,judge,
independent_judge_center_v3,000852.SH,2016-02-26,DownTrend,Range,2016-02-26 13:25:00+08:00,2016-02-26 13:30:00+08:00,29,17.0,25.0,2016-02-26 14:10:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-03-01,DownTrend,Shock,2016-03-01 13:30:00+08:00,2016-03-01 13:35:00+08:00,30,18.0,26.0,2016-03-01 14:15:00+08:00,True,22,judge,
independent_judge_center_v3,000852.SH,2016-03-09,DownTrend,Range,2016-03-09 11:20:00+08:00,2016-03-09 11:25:00+08:00,22,10.0,18.0,2016-03-09 13:35:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-04-13,UpTrend,Range,2016-04-13 13:40:00+08:00,2016-04-13 13:45:00+08:00,32,20.0,28.0,2016-04-13 14:25:00+08:00,True,23,judge,
independent_judge_center_v3,000852.SH,2016-04-15,Range,UpTrend,2016-04-15 13:15:00+08:00,2016-04-15 13:20:00+08:00,27,15.0,23.0,2016-04-15 14:00:00+08:00,True,24,judge,
independent_judge_center_v3,000852.SH,2016-04-22,Range,UpTrend,2016-04-22 13:25:00+08:00,2016-04-22 13:30:00+08:00,29,17.0,25.0,2016-04-22 14:10:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-04-25,Range,UpTrend,2016-04-25 11:20:00+08:00,2016-04-25 11:25:00+08:00,22,10.0,18.0,2016-04-25 13:35:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-05-05,Range,UpTrend,2016-05-05 13:10:00+08:00,2016-05-05 13:15:00+08:00,26,14.0,22.0,2016-05-05 13:55:00+08:00,False,,judge,
