carrier,index_symbol,index_label,phase,source_state_found,event_seq,live_asof_certified
512100,000852,2025-12-01T09:36:42Z,continuous_am,True,183,False
512100,000852,2025-12-01T09:36:45Z,continuous_am,True,184,False
512100,000852,2025-12-01T09:36:48Z,continuous_am,True,185,False
512100,000852,2025-12-01T09:36:51Z,continuous_am,True,186,False
512100,000852,2025-12-01T09:36:54Z,continuous_am,True,187,False
512100,000852,2025-12-01T09:36:57Z,continuous_am,True,188,False
512100,000852,2025-12-01T09:37:00Z,continuous_am,True,189,False
512100,000852,2025-12-01T09:37:03Z,continuous_am,True,190,False
512100,000852,2025-12-01T09:37:06Z,continuous_am,True,191,False
512100,000852,2025-12-01T09:37:09Z,continuous_am,True,192,False
512100,000852,2025-12-01T09:37:12Z,continuous_am,True,193,False
512100,000852,2025-12-01T09:37:15Z,continuous_am,True,194,False
512100,000852,2025-12-01T09:37:18Z,continuous_am,True,195,False
512100,000852,2025-12-01T09:37:21Z,continuous_am,True,196,False
512100,000852,2025-12-01T09:37:24Z,continuous_am,True,197,False
512100,000852,2025-12-01T09:37:27Z,continuous_am,True,198,False
512100,000852,2025-12-01T09:37:30Z,continuous_am,True,199,False
512100,000852,2025-12-01T09:37:33Z,continuous_am,True,200,False
512100,000852,2025-12-01T09:37:36Z,continuous_am,True,201,False
512100,000852,2025-12-01T09:37:39Z,continuous_am,True,202,False
512100,000852,2025-12-01T09:37:42Z,continuous_am,True,203,False
512100,000852,2025-12-01T09:37:45Z,continuous_am,True,204,False
512100,000852,2025-12-01T09:37:48Z,continuous_am,True,205,False
512100,000852,2025-12-01T09:37:51Z,continuous_am,True,206,False
512100,000852,2025-12-01T09:37:54Z,continuous_am,True,207,False
512100,000852,2025-12-01T09:37:57Z,continuous_am,True,208,False
512100,000852,2025-12-01T09:38:00Z,continuous_am,True,209,False
512100,000852,2025-12-01T09:38:03Z,continuous_am,True,210,False
512100,000852,2025-12-01T09:38:06Z,continuous_am,True,211,False
