carrier,legacy_label,convention,scope,left_label,right_label,legacy_volume_raw,legacy_open,legacy_high,legacy_low,legacy_close,tick_rows,tick_volume_raw,tick_open_x10000,tick_high_x10000,tick_low_x10000,tick_close_x10000,left_exact_tick_rows,right_exact_tick_rows,volume_equal_without_unit_conversion,legacy_minus_tick_volume_raw,open_equal_declared_scale,high_equal_declared_scale,low_equal_declared_scale,close_equal_declared_scale,all_ohlc_equal_declared_scale,legacy_zero_nonflat
588000,2025-12-01T09:34:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:34:00,2025-12-01 09:35:00,396485.0,1.387,1.387,1.384,1.384,1581,37534900.0,13830,13850,13820,13820,0,0,False,-37138415.0,False,False,False,False,False,False
588000,2025-12-01T09:34:00+08:00,"(t,t+60s]",continuous_am,2025-12-01 09:34:00,2025-12-01 09:35:00,396485.0,1.387,1.387,1.384,1.384,1581,37534900.0,13830,13850,13820,13820,0,0,False,-37138415.0,False,False,False,False,False,False
588000,2025-12-01T09:35:00+08:00,"[t-60s,t)",continuous_am,2025-12-01 09:34:00,2025-12-01 09:35:00,444112.0,1.383,1.385,1.382,1.382,1581,37534900.0,13830,13850,13820,13820,0,0,False,-37090788.0,True,True,True,True,True,False
588000,2025-12-01T09:35:00+08:00,"(t-60s,t]",continuous_am,2025-12-01 09:34:00,2025-12-01 09:35:00,444112.0,1.383,1.385,1.382,1.382,1581,37534900.0,13830,13850,13820,13820,0,0,False,-37090788.0,True,True,True,True,True,False
588000,2025-12-01T09:35:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:35:00,2025-12-01 09:36:00,444112.0,1.383,1.385,1.382,1.382,3254,55731800.0,13810,13820,13760,13770,0,0,False,-55287688.0,False,False,False,False,False,False
588000,2025-12-01T09:35:00+08:00,"(t,t+60s]",continuous_am,2025-12-01 09:35:00,2025-12-01 09:36:00,444112.0,1.383,1.385,1.382,1.382,3254,55731800.0,13810,13820,13760,13770,0,0,False,-55287688.0,False,False,False,False,False,False
588000,2025-12-01T09:36:00+08:00,"[t-60s,t)",continuous_am,2025-12-01 09:35:00,2025-12-01 09:36:00,544166.0,1.382,1.382,1.377,1.377,3254,55731800.0,13810,13820,13760,13770,0,0,False,-55187634.0,False,True,False,True,False,False
588000,2025-12-01T09:36:00+08:00,"(t-60s,t]",continuous_am,2025-12-01 09:35:00,2025-12-01 09:36:00,544166.0,1.382,1.382,1.377,1.377,3254,55731800.0,13810,13820,13760,13770,0,0,False,-55187634.0,False,True,False,True,False,False
588000,2025-12-01T09:36:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:36:00,2025-12-01 09:37:00,544166.0,1.382,1.382,1.377,1.377,1812,40880200.0,13770,13790,13760,13760,0,2,False,-40336034.0,False,False,False,False,False,False
588000,2025-12-01T09:36:00+08:00,"(t,t+60s]",continuous_am,2025-12-01 09:36:00,2025-12-01 09:37:00,544166.0,1.382,1.382,1.377,1.377,1814,40924400.0,13770,13790,13760,13770,0,2,False,-40380234.0,False,False,False,True,False,False
