layer,index_symbol,carrier,horizon,historical_pairs,historical_trading_days,year,year_pairs,year_trading_days,pairs_per_day
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,1,1802,1212,2023,235,242,0.9710743801652892
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,1,1802,1212,2024,436,242,1.8016528925619835
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,1,1802,1212,2025,386,243,1.5884773662551441
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,1,1802,1212,2021,336,243,1.382716049382716
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,1,1802,1212,2022,409,242,1.6900826446280992
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,1,1802,1212,2023,235,242,0.9710743801652892
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,1,1802,1212,2024,436,242,1.8016528925619835
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,1,1802,1212,2025,386,243,1.5884773662551441
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,5,1802,1212,2021,336,243,1.382716049382716
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,5,1802,1212,2022,409,242,1.6900826446280992
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,5,1802,1212,2023,235,242,0.9710743801652892
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,5,1802,1212,2024,436,242,1.8016528925619835
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,5,1802,1212,2025,386,243,1.5884773662551441
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,5,1802,1212,2021,336,243,1.382716049382716
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,5,1802,1212,2022,409,242,1.6900826446280992
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,5,1802,1212,2023,235,242,0.9710743801652892
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,5,1802,1212,2024,436,242,1.8016528925619835
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,5,1802,1212,2025,386,243,1.5884773662551441
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,15,1802,1212,2021,336,243,1.382716049382716
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,15,1802,1212,2022,409,242,1.6900826446280992
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,15,1802,1212,2023,235,242,0.9710743801652892
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,15,1802,1212,2024,436,242,1.8016528925619835
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,15,1802,1212,2025,386,243,1.5884773662551441
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,15,1802,1212,2021,336,243,1.382716049382716
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,15,1802,1212,2022,409,242,1.6900826446280992
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,15,1802,1212,2023,235,242,0.9710743801652892
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,15,1802,1212,2024,436,242,1.8016528925619835
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,15,1802,1212,2025,386,243,1.5884773662551441
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,30,1802,1212,2021,336,243,1.382716049382716
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,30,1802,1212,2022,409,242,1.6900826446280992
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,30,1802,1212,2023,235,242,0.9710743801652892
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,30,1802,1212,2024,436,242,1.8016528925619835
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,30,1802,1212,2025,386,243,1.5884773662551441
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,30,1801,1212,2021,336,243,1.382716049382716
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,30,1801,1212,2022,409,242,1.6900826446280992
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,30,1801,1212,2023,235,242,0.9710743801652892
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,30,1801,1212,2024,435,242,1.7975206611570247
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,30,1801,1212,2025,386,243,1.5884773662551441
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,60,1802,1212,2021,336,243,1.382716049382716
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,60,1802,1212,2022,409,242,1.6900826446280992
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,60,1802,1212,2023,235,242,0.9710743801652892
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,60,1802,1212,2024,436,242,1.8016528925619835
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,60,1802,1212,2025,386,243,1.5884773662551441
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,60,1801,1212,2021,336,243,1.382716049382716
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,60,1801,1212,2022,409,242,1.6900826446280992
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,60,1801,1212,2023,235,242,0.9710743801652892
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,60,1801,1212,2024,435,242,1.7975206611570247
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,60,1801,1212,2025,386,243,1.5884773662551441
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,120,1802,1212,2021,336,243,1.382716049382716
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,120,1802,1212,2022,409,242,1.6900826446280992
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,120,1802,1212,2023,235,242,0.9710743801652892
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,120,1802,1212,2024,436,242,1.8016528925619835
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,120,1802,1212,2025,386,243,1.5884773662551441
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,120,1802,1212,2021,336,243,1.382716049382716
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,120,1802,1212,2022,409,242,1.6900826446280992
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,120,1802,1212,2023,235,242,0.9710743801652892
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,120,1802,1212,2024,436,242,1.8016528925619835
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,120,1802,1212,2025,386,243,1.5884773662551441
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,240,1802,1212,2021,336,243,1.382716049382716
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,240,1802,1212,2022,409,242,1.6900826446280992
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,240,1802,1212,2023,235,242,0.9710743801652892
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,240,1802,1212,2024,436,242,1.8016528925619835
INDEX_ALL_FROZEN_PAIRS,000688.SH,588000.SH,240,1802,1212,2025,386,243,1.5884773662551441
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,240,1801,1212,2021,336,243,1.382716049382716
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,240,1801,1212,2022,409,242,1.6900826446280992
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,240,1801,1212,2023,235,242,0.9710743801652892
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,240,1801,1212,2024,435,242,1.7975206611570247
ETF_OBSERVED_ENDPOINTS,000688.SH,588000.SH,240,1801,1212,2025,386,243,1.5884773662551441
