layer,index_symbol,carrier,horizon,historical_pairs,historical_trading_days,spec,budget_trading_days,effect_bp_ASSUMED,family_size,expected_eligible_pairs_CONDITIONAL,positive_detection_probability_CONDITIONAL,detectable_effect_80_bp_CONDITIONAL,detectable_effect_90_bp_CONDITIONAL
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,120,6,14,128.31683168316832,0.7461861833875899,6.300456160698781,7.03854011485678
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,243,6,14,259.84158415841586,0.9851993418813316,4.427509281299554,4.9461818145356835
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,486,6,14,519.6831683168317,0.9999907955349103,3.1307218365732914,3.4974787020397637
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,1215,6,14,1299.2079207920792,1.0,1.9800423447994082,2.211999753275009
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,60,2,28,64.15841584158416,0.011280098759962227,9.408470418209271,10.452278756349473
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,120,2,28,128.31683168316832,0.026701537920166604,6.652793233308808,7.390877187466807
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,243,2,28,259.84158415841586,0.07673744867964159,4.675106537647068,5.193779070883197
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,486,2,28,519.6831683168317,0.2343165775785241,3.3057995355398027,3.6725564010062746
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,1215,2,28,1299.2079207920792,0.7484004233250334,2.0907712040465047,2.3227286125221056
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,60,4,28,64.15841584158416,0.07523571217547025,9.408470418209271,10.452278756349473
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,120,4,28,128.31683168316832,0.2297836291495574,6.652793233308808,7.390877187466807
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,243,4,28,259.84158415841586,0.6060374305747338,4.675106537647068,5.193779070883197
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,486,4,28,519.6831683168317,0.9529666328073618,3.3057995355398027,3.6725564010062746
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,1215,4,28,1299.2079207920792,0.9999959526503526,2.0907712040465047,2.3227286125221056
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,60,6,28,64.15841584158416,0.27594341299375275,9.408470418209271,10.452278756349473
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,120,6,28,128.31683168316832,0.6745556378194171,6.652793233308808,7.390877187466807
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,243,6,28,259.84158415841586,0.9753146423763771,4.675106537647068,5.193779070883197
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,486,6,28,519.6831683168317,0.9999768296353595,3.3057995355398027,3.6725564010062746
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L20_shift10,1215,6,28,1299.2079207920792,0.9999999999999999,2.0907712040465047,2.3227286125221056
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,60,2,1,64.15841584158416,0.12154423597170366,7.068800867642057,8.178808120763605
