DGP_ASSUMED,method,family,family_size,repetitions,joint_rejections,joint_rejection_rate,MC95_lo,MC95_hi,severe_size_warning,complete_quantification_fraction,shared_calendar_and_pair_shocks
BLOCK_T5_RHO06,EXPOSURE_SCORE_HAC6,INDEX_ALL_FROZEN_PAIRS,14,2000,38,0.019,0.013873784918301425,0.025970414566263898,False,1.0,True
BLOCK_T5_RHO06,EXPOSURE_SCORE_HAC6,ETF_OBSERVED_ENDPOINTS,14,2000,43,0.0215,0.016000780509074646,0.028833833739084404,False,1.0,True
BLOCK_T5_RHO06,EXPOSURE_SCORE_HAC6,COMBINED_28,28,2000,31,0.0155,0.010940972933704062,0.021916645881830028,False,1.0,True
BLOCK_T5_RHO06,FIVE_YEAR_GROUP_T,INDEX_ALL_FROZEN_PAIRS,14,2000,45,0.0225,0.01685787548400037,0.02997290466959618,False,1.0,True
BLOCK_T5_RHO06,FIVE_YEAR_GROUP_T,ETF_OBSERVED_ENDPOINTS,14,2000,50,0.025,0.019014423503992475,0.032806771413197815,False,1.0,True
BLOCK_T5_RHO06,FIVE_YEAR_GROUP_T,COMBINED_28,28,2000,35,0.0175,0.012609752959581211,0.024240197666827872,False,1.0,True
BLOCK_T5_RHO06,ORACLE_MEAN_NORMAL_REFERENCE,INDEX_ALL_FROZEN_PAIRS,14,2000,22,0.011,0.007275425411318251,0.016599446829747115,False,1.0,True
BLOCK_T5_RHO06,ORACLE_MEAN_NORMAL_REFERENCE,ETF_OBSERVED_ENDPOINTS,14,2000,24,0.012,0.008077154276022635,0.017793883870480226,False,1.0,True
BLOCK_T5_RHO06,ORACLE_MEAN_NORMAL_REFERENCE,COMBINED_28,28,2000,10,0.005,0.0027181808584985597,0.009179695949941846,False,1.0,True
HETEROSKEDASTIC_BLOCK_RHO06,GRAPH_T_BASELINE,INDEX_ALL_FROZEN_PAIRS,14,2000,254,0.127,0.11311861187744655,0.14231150539436807,True,1.0,True
HETEROSKEDASTIC_BLOCK_RHO06,GRAPH_T_BASELINE,ETF_OBSERVED_ENDPOINTS,14,2000,267,0.1335,0.119294433627455,0.14911076202970336,True,1.0,True
HETEROSKEDASTIC_BLOCK_RHO06,GRAPH_T_BASELINE,COMBINED_28,28,2000,200,0.1,0.08760922541834984,0.11392441240665252,True,1.0,True
HETEROSKEDASTIC_BLOCK_RHO06,EXPOSURE_SCORE_HAC6,INDEX_ALL_FROZEN_PAIRS,14,2000,28,0.014,0.009703783146220175,0.020159586811157672,False,1.0,True
HETEROSKEDASTIC_BLOCK_RHO06,EXPOSURE_SCORE_HAC6,ETF_OBSERVED_ENDPOINTS,14,2000,32,0.016,0.011356235350080627,0.02249946641817221,False,1.0,True
HETEROSKEDASTIC_BLOCK_RHO06,EXPOSURE_SCORE_HAC6,COMBINED_28,28,2000,18,0.009,0.005700499728577407,0.014182040701612969,False,1.0,True
HETEROSKEDASTIC_BLOCK_RHO06,FIVE_YEAR_GROUP_T,INDEX_ALL_FROZEN_PAIRS,14,2000,27,0.0135,0.009294493997659236,0.019570793006999862,False,1.0,True
HETEROSKEDASTIC_BLOCK_RHO06,FIVE_YEAR_GROUP_T,ETF_OBSERVED_ENDPOINTS,14,2000,34,0.017,0.012190680521843938,0.023661187151846397,False,1.0,True
HETEROSKEDASTIC_BLOCK_RHO06,FIVE_YEAR_GROUP_T,COMBINED_28,28,2000,21,0.0105,0.006877887380873443,0.015998901907473176,False,1.0,True
HETEROSKEDASTIC_BLOCK_RHO06,ORACLE_MEAN_NORMAL_REFERENCE,INDEX_ALL_FROZEN_PAIRS,14,2000,24,0.012,0.008077154276022635,0.017793883870480226,False,1.0,True
HETEROSKEDASTIC_BLOCK_RHO06,ORACLE_MEAN_NORMAL_REFERENCE,ETF_OBSERVED_ENDPOINTS,14,2000,27,0.0135,0.009294493997659236,0.019570793006999862,False,1.0,True
HETEROSKEDASTIC_BLOCK_RHO06,ORACLE_MEAN_NORMAL_REFERENCE,COMBINED_28,28,2000,15,0.0075,0.004550377435809225,0.012337914136224913,False,1.0,True
SIGNED_LEG_REUSE_RHO06,GRAPH_T_BASELINE,INDEX_ALL_FROZEN_PAIRS,14,2000,14,0.007,0.0041743460559210965,0.011715862563394297,False,1.0,True
SIGNED_LEG_REUSE_RHO06,GRAPH_T_BASELINE,ETF_OBSERVED_ENDPOINTS,14,2000,14,0.007,0.0041743460559210965,0.011715862563394297,False,1.0,True
SIGNED_LEG_REUSE_RHO06,GRAPH_T_BASELINE,COMBINED_28,28,2000,7,0.0035,0.0016964316970424177,0.007207196253241745,False,1.0,True
SIGNED_LEG_REUSE_RHO06,EXPOSURE_SCORE_HAC6,INDEX_ALL_FROZEN_PAIRS,14,2000,7,0.0035,0.0016964316970424177,0.007207196253241745,False,1.0,True
SIGNED_LEG_REUSE_RHO06,EXPOSURE_SCORE_HAC6,ETF_OBSERVED_ENDPOINTS,14,2000,7,0.0035,0.0016964316970424177,0.007207196253241745,False,1.0,True
SIGNED_LEG_REUSE_RHO06,EXPOSURE_SCORE_HAC6,COMBINED_28,28,2000,4,0.002,0.0007780273070510575,0.005131351785076866,False,1.0,True
SIGNED_LEG_REUSE_RHO06,FIVE_YEAR_GROUP_T,INDEX_ALL_FROZEN_PAIRS,14,2000,21,0.0105,0.006877887380873443,0.015998901907473176,False,1.0,True
SIGNED_LEG_REUSE_RHO06,FIVE_YEAR_GROUP_T,ETF_OBSERVED_ENDPOINTS,14,2000,26,0.013,0.008886895534737305,0.01898030851720305,False,1.0,True
SIGNED_LEG_REUSE_RHO06,FIVE_YEAR_GROUP_T,COMBINED_28,28,2000,13,0.0065,0.0038025964940741515,0.011089529172522494,False,1.0,True
SIGNED_LEG_REUSE_RHO06,ORACLE_MEAN_NORMAL_REFERENCE,INDEX_ALL_FROZEN_PAIRS,14,2000,17,0.0085,0.005313767739685552,0.013570689737786079,False,1.0,True
SIGNED_LEG_REUSE_RHO06,ORACLE_MEAN_NORMAL_REFERENCE,ETF_OBSERVED_ENDPOINTS,14,2000,21,0.0105,0.006877887380873443,0.015998901907473176,False,1.0,True
SIGNED_LEG_REUSE_RHO06,ORACLE_MEAN_NORMAL_REFERENCE,COMBINED_28,28,2000,9,0.0045,0.0023692806369618345,0.008530513218759823,False,1.0,True
