id,layer,index_symbol,carrier,horizon,n,DGP_ASSUMED,method,repetitions,seed,rho_ASSUMED,lambda_nuisance,marginal_SD_target_bp,oracle_mean_SE_under_DGP_bp,null_rejections,null_rejection_rate,null_MC95_lo,null_MC95_hi,severe_size_warning,valid_fraction,invalid_replicates,mean_reported_SE_bp,mean_family14_interval_width_bp,marginal_family14_rejections,reference_not_deployable,estimand,power_positive_family14_effect2bp_ASSUMED,power_effect2_MC95_lo,power_effect2_MC95_hi,power_positive_family14_effect4bp_ASSUMED,power_effect4_MC95_lo,power_effect4_MC95_hi,power_positive_family14_effect6bp_ASSUMED,power_effect6_MC95_lo,power_effect6_MC95_hi
ETF_OBSERVED_ENDPOINTS:512100.SH:15,ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,1268,IID_GAUSSIAN,GRAPH_T_BASELINE,2000,2026091207,0.0,0.0,55.540462275362735,1.5597315726354521,80,0.04,0.032256746939981165,0.04950693655877153,False,1.0,0,1.6396193850171983,9.94680326192206,4,False,pair_weighted_mean,0.036,0.02868460672278366,0.04509441315421905,0.279,0.25978160014051965,0.2990657347577941,0.745,0.7254407541870743,0.7636198926451118
ETF_OBSERVED_ENDPOINTS:512100.SH:15,ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,1268,IID_GAUSSIAN,EXPOSURE_SCORE_HAC6,2000,2026091207,0.0,0.0,55.540462275362735,1.5597315726354521,29,0.0145,0.01011467734679028,0.020746775563306317,False,1.0,0,2.133983381353737,12.945878203504025,2,False,pair_weighted_mean,0.009,0.005700499728577407,0.014182040701612969,0.1095,0.09655586386639291,0.12394135006026562,0.432,0.41044132080375967,0.45381939762649065
ETF_OBSERVED_ENDPOINTS:512100.SH:15,ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,1268,IID_GAUSSIAN,FIVE_YEAR_GROUP_T,2000,2026091207,0.0,0.0,55.540462275362735,1.5597315726354521,94,0.047,0.038561402365168564,0.05717544247164658,False,1.0,0,1.5522487277545052,19.055529134854442,12,False,equal_year_mean,0.011,0.007275425411318251,0.016599446829747115,0.068,0.05777462902670909,0.07988169982429345,0.1785,0.16233862634366797,0.1958940350581776
ETF_OBSERVED_ENDPOINTS:512100.SH:15,ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,1268,IID_GAUSSIAN,ORACLE_MEAN_NORMAL_REFERENCE,2000,2026091207,0.0,0.0,55.540462275362735,1.5597315726354521,100,0.05,0.04128123361873174,0.0604441089343959,False,1.0,0,1.5597315726354524,9.089261865449856,7,True,pair_weighted_mean,0.052,0.043099720209557914,0.06261795415444468,0.374,0.35305463871866954,0.39542845719620606,0.8255,0.8082465225788182,0.8415054796410861
INDEX_ALL_FROZEN_PAIRS:512100.SH:30,INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,1296,IID_GAUSSIAN,GRAPH_T_BASELINE,2000,2026091207,0.0,0.0,75.47473769506406,2.0965204915295574,85,0.0425,0.03450117971009799,0.05225291855224844,False,1.0,0,2.203812057708462,13.369496094392519,3,False,pair_weighted_mean,0.0145,0.01011467734679028,0.020746775563306317,0.109,0.09608415062582279,0.12341498034811699,0.388,0.366877875432465,0.4095515431585356
INDEX_ALL_FROZEN_PAIRS:512100.SH:30,INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,1296,IID_GAUSSIAN,EXPOSURE_SCORE_HAC6,2000,2026091207,0.0,0.0,75.47473769506406,2.0965204915295574,30,0.015,0.010527098037106688,0.021332437825708653,False,1.0,0,2.8785012011781506,17.462519288905007,1,False,pair_weighted_mean,0.0055,0.003073897009543817,0.009822062751615332,0.045,0.03675381704471326,0.05499069598122689,0.1675,0.15177506619529307,0.18449977024674008
INDEX_ALL_FROZEN_PAIRS:512100.SH:30,INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,1296,IID_GAUSSIAN,FIVE_YEAR_GROUP_T,2000,2026091207,0.0,0.0,75.47473769506406,2.0965204915295574,97,0.0485,0.03992009344287708,0.05881100025209431,False,1.0,0,2.069505178815721,25.4054105663226,10,False,equal_year_mean,0.0065,0.0038025964940741515,0.011089529172522494,0.032,0.025139125203291417,0.04065523105196132,0.088,0.07636089079305232,0.10121875616670008
INDEX_ALL_FROZEN_PAIRS:512100.SH:30,INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,1296,IID_GAUSSIAN,ORACLE_MEAN_NORMAL_REFERENCE,2000,2026091207,0.0,0.0,75.47473769506406,2.0965204915295574,102,0.051,0.04218996991731548,0.06153153854124964,False,1.0,0,2.096520491529558,12.217373866193839,7,True,pair_weighted_mean,0.027,0.020752396241488,0.035061130486577274,0.1585,0.14315092058681417,0.17515842270628157,0.4905,0.46863010699531177,0.5124063169030318
ETF_OBSERVED_ENDPOINTS:512100.SH:30,ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,1259,IID_GAUSSIAN,GRAPH_T_BASELINE,2000,2026091207,0.0,0.0,78.00040745793594,2.1982850496093547,73,0.0365,0.02912975228047479,0.045647350549246665,False,1.0,0,2.30958800672355,14.011189260691076,3,False,pair_weighted_mean,0.014,0.009703783146220175,0.020159586811157672,0.0955,0.08338376688235076,0.10916712436818286,0.335,0.3146482151175497,0.35598441048526375
ETF_OBSERVED_ENDPOINTS:512100.SH:30,ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,1259,IID_GAUSSIAN,EXPOSURE_SCORE_HAC6,2000,2026091207,0.0,0.0,78.00040745793594,2.1982850496093547,30,0.015,0.010527098037106688,0.021332437825708653,False,1.0,0,3.0126382288846223,18.27626584309158,1,False,pair_weighted_mean,0.003,0.0013756299236301083,0.006529915073935308,0.0375,0.030021256563230403,0.04675201217192855,0.1415,0.1269114335293511,0.15746308937130718
