symbol,cell,event_day,control_day,event_entry_idx,control_entry_idx,side,parent_direction,horizon,event_signed_return,control_signed_return,incremental_return,match_distance
000688.SH,R1_A,2025-03-11,2025-03-11,269243,269242,SHORT,-1,30,-0.005348669232808856,-0.004828002414001498,-0.0005206668188073582,0.1253124324029273
000688.SH,R1_A,2025-03-11,2025-03-11,269243,269242,SHORT,-1,60,-0.014299690051475134,-0.012774089720378301,-0.0015256003310968325,0.1253124324029273
000688.SH,R1_A,2025-03-11,2025-03-11,269243,269242,SHORT,-1,120,-0.010386475638411552,-0.010369232457343669,-1.724318106788303e-05,0.1253124324029273
000688.SH,R1_A,2025-03-11,2025-03-11,269243,269242,SHORT,-1,240,-0.004690371481078426,-0.006181306120956354,0.0014909346398779277,0.1253124324029273
000688.SH,R1_A,2025-03-12,2025-05-26,269287,281045,SHORT,-1,1,-0.0028493130796174437,-0.0005094658759756676,-0.002339847203641776,0.3308055034571089
000688.SH,R1_A,2025-03-12,2025-05-26,269287,281045,SHORT,-1,5,-0.0009709442659842082,-0.0012125287848221422,0.00024158451883793397,0.3308055034571089
000688.SH,R1_A,2025-03-12,2025-05-26,269287,281045,SHORT,-1,15,-0.005054354730404054,-0.0007743881314830059,-0.004279966598921048,0.3308055034571089
000688.SH,R1_A,2025-03-12,2025-05-26,269287,281045,SHORT,-1,30,-0.003266728371535743,2.037863503900894e-05,-0.003287107006574752,0.3308055034571089
000688.SH,R1_A,2025-03-12,2025-05-26,269287,281045,SHORT,-1,60,-0.004990835012068651,-0.0026390332375538783,-0.0023518017745147723,0.3308055034571089
000688.SH,R1_A,2025-03-12,2025-05-26,269287,281045,SHORT,-1,120,-1.8148490952940577e-05,0.0010291210694707287,-0.0010472695604236693,0.3308055034571089
000688.SH,R1_A,2025-03-12,2025-05-26,269287,281045,SHORT,-1,240,0.012386345075407035,0.0008151454015609128,0.011571199673846122,0.3308055034571089
000688.SH,R1_A,2025-03-12,2025-12-19,269323,315165,LONG,1,1,0.0022091177955709806,9.85490546869805e-05,0.002110568740884,0.2507136028191222
000688.SH,R1_A,2025-03-12,2025-12-19,269323,315165,LONG,1,5,-0.0032550674457186846,0.0024864684567218465,-0.005741535902440531,0.2507136028191222
000688.SH,R1_A,2025-03-12,2025-12-19,269323,315165,LONG,1,15,-0.003525571665584537,0.0006216171141804061,-0.004147188779764943,0.2507136028191222
000688.SH,R1_A,2025-03-12,2025-12-19,269323,315165,LONG,1,30,-0.003381302748322823,-0.0022817896508331437,-0.0010995130974896794,0.2507136028191222
000688.SH,R1_A,2025-03-12,2025-12-19,269323,315165,LONG,1,60,-0.005049412104162099,-0.002638082387009688,-0.0024113297171524106,0.2507136028191222
000688.SH,R1_A,2025-03-12,2025-12-19,269323,315165,LONG,1,120,-0.0022902690615306254,-0.005435359400821849,0.0031450903392912233,0.2507136028191222
000688.SH,R1_A,2025-03-12,2025-12-19,269323,315165,LONG,1,240,-0.020423068599870087,0.005549069848537647,-0.025972138448407733,0.2507136028191222
000688.SH,R1_A,2025-03-13,2025-03-13,269742,269741,SHORT,-1,1,-0.0007193303688202146,-0.0008976324942964187,0.00017830212547620405,0.09673422123774798
000688.SH,R1_A,2025-03-13,2025-03-13,269742,269741,SHORT,-1,5,-0.00028025858525460023,-0.0021131764969892775,0.0018329179117346772,0.09673422123774798
