symbol,cell,event_day,event_entry_idx,control_day,control_entry_idx,side,parent_direction,clock_bucket,calendar_year,severity,match_distance,event_parent_abs_drift,event_parent_efficiency,event_log1p_parent_age_bars,event_local_vol_30_over_240,control_parent_abs_drift,control_parent_efficiency,control_log1p_parent_age_bars,control_local_vol_30_over_240
000688.SH,R1_B,2022-10-28,131772,2022-08-03,118327,LONG,1,19,2022,1.4055885582529775,0.4508600472823463,0.053685259784249005,0.019326818675352585,3.8066624897703196,1.463163417820575,0.037841055438680805,0.016571852584714157,4.304065093204169,1.4404461306498468
000688.SH,R1_B,2022-10-31,132011,2022-01-13,86421,SHORT,-1,19,2022,1.994301729995926,0.11077280093584056,0.10638037437968866,0.021629904144247106,2.3978952727983707,1.8533374050488416,0.09586877779076716,0.018250134192163366,2.3978952727983707,1.8430327597713902
000688.SH,R1_B,2022-10-31,132133,2022-01-13,86546,SHORT,-1,26,2022,0.7462524455675007,0.11475063564799588,0.10638037437968866,0.021629904144247106,4.890349128221754,0.5753265534374644,0.09586877779076716,0.018250134192163366,4.912654885736052,0.5880646871230139
000688.SH,R1_B,2022-11-01,132243,2022-11-18,135368,LONG,1,19,2022,1.1086924002037652,0.5636436342852096,0.00015388585914892232,2.432675700000223e-05,4.02535169073515,0.8423073552737875,0.006991994082577767,0.0012802275960172528,4.663439094112067,0.8788172942241005
000688.SH,R1_B,2022-11-01,132430,2022-05-31,107717,LONG,1,28,2022,1.497338760289991,0.3976542437040633,0.16671828456308302,0.043590018207133076,4.454347296253507,0.5635042434374294,0.1986204943515715,0.03785077224276669,4.812184355372417,0.5485617771814479
000688.SH,R1_B,2022-11-02,132557,2022-02-15,90796,LONG,1,21,2022,0.6792152800147313,0.5164091646226949,0.14221985621878322,0.061109645651982215,4.48863636973214,0.8241341187240286,0.21376153775134052,0.06844294072037856,4.304065093204169,0.8354572292850938
000688.SH,R1_B,2022-11-03,132727,2022-09-28,127691,LONG,1,19,2022,0.8447917938399405,0.2945517969007139,0.14221985621878322,0.061109645651982215,5.556828061699537,1.3577474188200382,0.1544235250086015,0.05104831358249733,5.459585514144159,1.3196765987781034
000688.SH,R1_B,2022-11-03,132763,2022-05-17,105167,LONG,1,20,2022,0.7750834051530772,0.477324790037689,0.14221985621878322,0.061109645651982215,5.68697535633982,1.2488866988014435,0.17105940914242834,0.046190677369384286,5.545177444479562,1.3195992555024123
000688.SH,R1_B,2022-11-07,133204,2022-11-07,133203,LONG,1,19,2022,0.5205677732149637,0.18043031735818535,0.14221985621878322,0.061109645651982215,6.601230118728877,0.9937697625843623,0.14221985621878322,0.061109645651982215,6.5998704992128365,0.9349528329114946
000688.SH,R1_B,2022-11-07,133268,2022-10-18,129899,LONG,1,21,2022,1.28734851171571,1.4873607706112226,0.535426779130154,0.07547647032568075,3.4011973816621555,1.095298519508006,0.42023532094430643,0.08672256288324384,4.804021044733257,0.9750442952318666
000688.SH,R1_B,2022-11-16,134887,2022-02-23,92162,LONG,1,19,2022,0.5375206574236853,0.6347899521964983,0.010787143721714213,0.002799424982976505,5.501258210544727,0.9575264964070807,0.07510463109588615,0.010110622100630533,5.0369526024136295,1.0250032790937642
000688.SH,R1_B,2022-11-24,136350,2022-11-24,136349,SHORT,-1,20,2022,2.1301363086411707,0.020263323813635426,0.25164934016668605,0.0329907351427313,4.997212273764115,1.6606899255826457,0.25164934016668605,0.0329907351427313,4.990432586778736,1.654364795286502
000688.SH,R1_B,2022-11-28,136816,2022-11-28,136815,SHORT,-1,19,2022,0.6805655725111646,0.008294027527198582,0.2663280454588807,0.03690381254559976,5.545177444479562,2.386559270036565,0.2663280454588807,0.03690381254559976,5.541263545158426,2.3840891294051927
000688.SH,R1_B,2022-12-06,138265,2022-12-06,138264,SHORT,-1,19,2022,0.6596318742045365,0.07047956401193087,0.040292041106528634,0.0036920968826521646,5.575949103146316,1.846705505384546,0.040292041106528634,0.0036920968826521646,5.572154032177765,1.8237547376912089
000688.SH,R1_B,2022-12-07,138642,2022-12-07,138639,SHORT,-1,27,2022,0.8374547852900113,0.09605791294603408,0.19863751621499964,0.02761661638431172,5.087596335232384,0.5488797203763567,0.19863751621499964,0.02761661638431172,5.0689042022202315,0.5180093066023846
000688.SH,R1_B,2022-12-08,138844,2022-05-18,105488,SHORT,-1,26,2022,0.585509913677729,0.35682758750933086,0.19863751621499964,0.02761661638431172,5.8971538676367405,0.8032840978860274,0.164643467730153,0.03275150505471199,5.60947179518496,0.7848103667946668
000688.SH,R1_B,2022-12-09,139030,2022-11-29,137100,SHORT,-1,21,2022,0.8174922480414639,0.8630800449106609,0.19863751621499964,0.02761661638431172,6.309918278226516,1.5369045986367218,0.2663280454588807,0.03690381254559976,6.29156913955832,1.3047791549663714
000688.SH,R1_B,2022-12-14,139699,2022-12-14,139698,SHORT,-1,19,2022,0.865472392344502,0.00450747092809427,0.06206116069894826,0.004955958185356689,5.4680601411351315,2.393656841435395,0.06206116069894826,0.004955958185356689,5.4638318050256105,2.39452192707906
000688.SH,R1_B,2022-12-16,140161,2022-12-20,140641,SHORT,-1,19,2022,0.9147109036545561,0.4640738298458048,0.06206116069894826,0.004955958185356689,6.54965074223381,0.9983508609709842,0.06206116069894826,0.004955958185356689,7.072421900537371,1.0347206659309163
000688.SH,R1_B,2022-12-22,141265,2022-12-22,141260,SHORT,-1,26,2022,0.5997016922045296,0.016149707111175075,0.06206116069894826,0.004955958185356689,7.497207223203318,0.7532921905913122,0.06206116069894826,0.004955958185356689,7.494430215031565,0.7480856865895842
