symbol,cell,event_day,control_day,side,parent_direction,event_entry_idx,control_entry_idx,match_distance,event_seg_0_1_bp,control_seg_0_1_bp,incremental_seg_0_1_bp,event_seg_1_5_bp,control_seg_1_5_bp,incremental_seg_1_5_bp,event_seg_5_15_bp,control_seg_5_15_bp,incremental_seg_5_15_bp,event_seg_15_30_bp,control_seg_15_30_bp,incremental_seg_15_30_bp,event_seg_30_60_bp,control_seg_30_60_bp,incremental_seg_30_60_bp,event_seg_60_120_bp,control_seg_60_120_bp,incremental_seg_60_120_bp,event_seg_120_240_bp,control_seg_120_240_bp,incremental_seg_120_240_bp,event_same_session_bp,control_same_session_bp,incremental_same_session_bp,event_overnight_bp,control_overnight_bp,incremental_overnight_bp,event_next_session_bp,control_next_session_bp,incremental_next_session_bp,event_bars_to_MFE,event_bars_to_MAE,control_bars_to_MFE,control_bars_to_MAE
000688.SH,R1_A,2025-08-08,2025-08-08,SHORT,-1,293857,293856,0.0573161368669747,-0.5724808459004167,5.532609147832303,-6.10508999373272,-0.7632568172098546,2.385689690344494,-3.148946507554349,0.28621447960935553,-3.8168303596046727,4.103044839214029,-10.393871412845337,-8.105930647012691,-2.287940765832646,7.532095184215722,7.819727089482903,-0.2876319052671814,34.20407286278909,28.565306390329052,5.638766472460038,-48.69116568350731,-43.24609721379886,-5.4450684697084455,43.02973774220106,48.562346890032174,-5.532609147831117,-13.31118192018417,-13.31118192018417,0.0,-48.11694805486712,-46.11669087227566,-2.0002571825914615,138,178,139,179
000688.SH,R1_A,2025-08-11,2025-04-22,SHORT,-1,294049,276045,0.22329002163828082,-1.622485747158268,-17.060834824239237,15.438349077080968,-12.875108475058521,-10.672725348363832,-2.2023831266946896,20.512631997559467,33.9179433302645,-13.405311332705033,-10.786303396326531,-6.086248212298527,-4.700055184028004,-29.721384108000056,16.696954230222698,-46.41833833822275,9.516468966504743,-47.07275535328127,56.58922431978601,-11.608877336163602,86.37134183772113,-97.98021917388473,-19.452476311640005,27.417065861762797,-46.869542173402806,12.01029598188492,-47.02472304911303,59.035019030997944,-29.14287776888949,75.70133284737895,-104.84421061626844,206,69,230,147
000688.SH,R1_A,2025-08-11,2025-03-19,SHORT,-1,294138,270613,0.9361768109193396,1.9050159126441302,-0.7376399214065478,2.642655834050678,-7.046746884878016,11.070316081032153,-18.11706296591017,1.332787527082698,3.6928304118035755,-2.3600428847208774,1.4281837811147902,28.57316530624637,-27.14498152513158,26.601465894920555,25.86939722437052,0.732068670550035,3.3421024044801206,58.00842162440851,-54.66631921992839,-269.3863933350248,-32.723488005292424,-236.66290532973238,2.190799602988109,69.95364968823944,-67.76285008525133,12.01029598188492,42.89835218187198,-30.88805619998706,-256.02468028453393,-19.098999148948813,-236.9256811355851,117,239,135,2
000688.SH,R1_A,2025-08-12,2025-07-08,LONG,1,294263,288253,0.6195909664657925,-1.8131587661033859,-19.75379680928853,17.940638043185146,11.922647285903995,8.76165304891404,3.1609942369899553,-17.173118755654365,21.972218064014726,-39.14533681966909,61.40098778337631,-18.4086257216242,79.80961350500051,13.372472722690533,17.798937780046945,-4.4264650573564115,204.87944945613097,71.5869057569035,133.29254369922745,-3.4362187073389956,-1.2107881236476667,-2.225430583691329,206.0701874432851,90.02546864457646,116.04471879870864,19.050648720862164,-13.820726224294507,32.871374945156674,44.03222485485682,4.541761575035715,39.49046327982111,114,17,234,1
000688.SH,R1_A,2025-08-12,2025-07-08,LONG,1,294333,288349,0.810445066382468,5.944938720466647,-4.14352781839354,10.088466538860187,-6.039331327637254,4.042486588519153,-10.081817916156407,3.869366463119084,5.151801476646545,-1.2824350135274614,59.45622753118513,21.689247109449255,37.76698042173587,74.85071881137434,-3.72921846958886,78.5799372809632,-24.608054773623973,-0.30243002527546164,-24.30562474834851,22.187220691356455,-52.05318133579492,74.24040202715138,97.68913223914582,22.708358861356672,74.98077337778915,19.050648720862164,-13.820726224294507,32.871374945156674,18.92130515622721,-38.23245511150087,57.153760267728074,44,2,138,239
000688.SH,R1_A,2025-08-12,2025-10-22,LONG,1,294420,305222,1.2630448790071092,9.786423750271023,-2.0626402579593934,11.849064008230417,-8.947212049303419,17.19935322321373,-26.14656527251715,-17.07782957421757,-8.098489435068947,-8.979340139148624,20.15433673737738,-6.895988159089375,27.050324896466755,-8.952468588190666,-77.17470347850835,68.22223489031768,-29.618854372250883,-33.23752795164582,3.6186735793949403,89.33662900088696,-36.73985143227414,126.0764804331611,-24.08739844492597,-4.9795129642603815,-19.107885480665587,19.050648720862164,-45.856755071330824,64.90740379219298,59.717774628635446,-96.17357945574285,155.8913540843783,200,103,11,97
000688.SH,R1_A,2025-08-13,2025-03-19,SHORT,-1,294625,270613,0.13789677677954268,1.4875833306539883,-0.7376399214065478,2.225223252060536,2.8828225822357334,11.070316081032153,-8.187493498796421,-14.12718416266708,3.6928304118035755,-17.820014574470655,3.6228350473588646,28.57316530624637,-24.950330258887504,14.318391348571287,25.86939722437052,-11.551005875799232,-225.0324948999015,58.00842162440851,-283.04091652431003,142.74962037657326,-32.723488005292424,175.4731083818657,-19.040106060924685,69.95364968823944,-88.99375574916412,-29.833897474602402,42.89835218187198,-72.73224965647438,-25.224422841651172,-19.098999148948813,-6.125423692702359,63,130,135,2
000688.SH,R1_A,2025-08-13,2025-04-03,SHORT,-1,294682,273299,0.17220865503859034,7.908264548177619,-3.6307079788680596,11.53897252704568,17.60670441000126,0.9811424430470902,16.62556196695417,-26.90989607550078,3.042153475569078,-29.952049551069855,-15.331369585307687,4.515869430680545,-19.847239015988233,-169.85057701412697,3.2409021776734948,-173.09147919180046,-35.08216004447658,582.2038611515911,-617.2860211960677,41.47397873444851,432.32957638477905,-390.85559765033054,-22.759479389403435,8.149359548103233,-30.908838937506665,-29.833897474602402,412.7966436653251,-442.6305411399275,-127.59167816277707,601.7367938710445,-729.3284720338215,6,73,240,7
000688.SH,R1_A,2025-08-14,2025-04-17,LONG,1,294775,275325,1.0183510609233182,2.087540567133125,4.597094130658321,-2.5095535635251958,28.90843302411862,-7.826104369234321,36.73453739335294,-45.348261065866446,-15.76862566764255,-29.579635398223896,-17.37746371564086,-20.89987955912811,3.5224158434872486,18.740907959700696,23.840018354857833,-5.099110395157137,-65.38146384224996,-24.72407440458727,-40.65738943766269,-24.4567206104248,-101.29818271184055,76.84146210141576,-145.5635101298169,-52.37976428366508,-93.18374584615182,-53.00741030903653,-43.26771089274915,-9.73969941628738,95.74389275562606,-46.43227905050309,142.17617180612916,45,186,2,225
000688.SH,R1_A,2025-08-18,2025-08-18,LONG,1,295214,295213,0.17539553862377646,21.16936728488461,-12.526869065111567,33.69623634999618,41.039790708482364,50.82111599882303,-9.781325290340668,47.1178144338022,65.01514130563343,-17.897326871831233,46.36415223605331,62.912290532326544,-16.548138296273237,21.72863135341894,12.570489337101092,9.158142016317848,46.49115674610696,35.148800239645226,11.342356506461734,-32.857285979696634,-30.549472368014325,-2.3078136116823096,142.3645414920557,129.83767242694358,12.526869065112123,-19.31060858945068,-19.31060858945068,0.0,67.99969388044816,72.8644321429111,-4.864738262462936,106,1,107,1
