pair_id,symbol,event_day,control_day,side,horizon,index_event,index_control,index_incremental,etf_event,etf_control,etf_incremental,event_tracking_residual,incremental_tracking_residual
000852.SH:R1_A:355854:355853,000852.SH,2021-02-03,2021-02-03,LONG,1,-0.0003443148916190131,-0.0014970902067171776,0.0011527753150981646,0.0,-0.0011061946902655162,0.0011061946902655162,0.0003443148916190131,-4.6580624832648354e-05
000852.SH:R1_A:356091:394736,000852.SH,2021-02-04,2021-10-12,SHORT,1,-0.002672370279025671,-0.0015957584766990163,-0.0010766118023266547,-0.0022573363431150906,-0.0018832391713747842,-0.0003740971717403063,0.00041503393591058035,0.0007025146305863483
000852.SH:R1_A:356135:360697,000852.SH,2021-02-04,2021-03-10,SHORT,1,0.0007565638772204508,0.00036551624662350957,0.00039104763059694125,0.0011376564277588708,0.0011574074074074403,-1.9750979648569533e-05,0.00038109255053841995,-0.0004107986102455108
000852.SH:R1_A:356189:404439,000852.SH,2021-02-04,2021-12-07,SHORT,1,0.0002793109024356033,-0.0002723489972547011,0.0005516598996903044,0.0011520737327188613,-0.0,0.0011520737327188613,0.000872762830283258,0.0006004138330285569
000852.SH:R1_A:356304:358479,000852.SH,2021-02-04,2021-02-24,SHORT,1,-0.0001910448534458986,-6.213302681024047e-06,-0.00018483155076487456,-0.0011441647597254523,-0.0,-0.0011441647597254523,-0.0009531199062795537,-0.0009593332089605777
000852.SH:R1_A:356573:356572,000852.SH,2021-02-08,2021-02-08,SHORT,1,0.0012428007984455203,0.0015457154028137854,-0.0003029146043682651,0.0011709601873536313,-0.0,0.0011709601873536313,-7.1840611091889e-05,0.0014738747917218964
000852.SH:R1_A:356602:383978,000852.SH,2021-02-08,2021-07-30,SHORT,1,-0.0001476183683690735,0.00041828892129947004,-0.0005659072896685435,-0.0,0.0009560229445507717,-0.0009560229445507717,0.0001476183683690735,-0.0003901156548822282
000852.SH:R1_A:357288:357287,000852.SH,2021-02-18,2021-02-18,LONG,1,0.001131225254447532,-0.0005293955052915189,0.001660620759739051,0.002207505518763808,0.0,0.002207505518763808,0.001076280264316276,0.0005468847590247572
000852.SH:R1_A:357346:383740,000852.SH,2021-02-18,2021-07-29,LONG,1,-2.3477815811911995e-05,4.641258821913574e-05,-6.989040403104774e-05,0.0,0.0009718172983479434,-0.0009718172983479434,2.3477815811911995e-05,-0.0009019268943168957
000852.SH:R1_A:357522:390420,000852.SH,2021-02-19,2021-09-07,SHORT,1,-0.0021741377851989263,0.001584682344970556,-0.0037588201301694824,-0.0033149171270718814,0.0017683465959328348,-0.005083263723004716,-0.001140779341872955,-0.0013244435928352338
