symbol,trading_day,timestamp,open,high,low,close
000852.SH,2016-05-16,2016-05-16T14:34:00Z,7916.0,7917.75,7916.0,7917.68
000852.SH,2016-05-16,2016-05-16T14:35:00Z,7917.72,7917.89,7916.56,7916.56
000852.SH,2016-05-16,2016-05-16T14:36:00Z,7916.46,7916.46,7915.19,7915.19
000852.SH,2016-05-16,2016-05-16T14:37:00Z,7915.24,7921.24,7915.24,7921.24
000852.SH,2016-05-16,2016-05-16T14:38:00Z,7921.99,7931.93,7921.99,7931.93
000852.SH,2016-05-16,2016-05-16T14:39:00Z,7932.99,7936.27,7932.99,7935.99
000852.SH,2016-05-16,2016-05-16T14:40:00Z,7936.19,7936.6,7935.82,7935.9
000852.SH,2016-05-16,2016-05-16T14:41:00Z,7935.86,7935.86,7933.24,7933.24
000852.SH,2016-05-16,2016-05-16T14:42:00Z,7933.25,7933.25,7929.6,7929.6
000852.SH,2016-05-16,2016-05-16T14:43:00Z,7929.69,7929.69,7926.84,7926.95
000852.SH,2016-05-16,2016-05-16T14:44:00Z,7926.36,7926.53,7925.58,7925.58
000852.SH,2016-05-16,2016-05-16T14:45:00Z,7925.72,7926.46,7925.51,7926.46
000852.SH,2016-05-16,2016-05-16T14:46:00Z,7926.38,7927.91,7926.38,7927.91
000852.SH,2016-05-16,2016-05-16T14:47:00Z,7927.92,7928.39,7927.83,7928.02
000852.SH,2016-05-16,2016-05-16T14:48:00Z,7927.96,7927.96,7927.19,7927.19
000852.SH,2016-05-16,2016-05-16T14:49:00Z,7927.25,7931.39,7927.25,7931.39
000852.SH,2016-05-16,2016-05-16T14:50:00Z,7931.65,7937.25,7931.65,7937.25
000852.SH,2016-05-16,2016-05-16T14:51:00Z,7937.38,7942.14,7937.38,7942.14
000852.SH,2016-05-16,2016-05-16T14:52:00Z,7942.89,7945.81,7942.89,7945.81
000852.SH,2016-05-16,2016-05-16T14:53:00Z,7945.74,7947.41,7945.74,7947.41
000852.SH,2016-05-16,2016-05-16T14:54:00Z,7947.51,7948.35,7947.34,7948.35
000852.SH,2016-05-16,2016-05-16T14:55:00Z,7948.25,7950.34,7948.18,7950.34
000852.SH,2016-05-16,2016-05-16T14:56:00Z,7950.54,7951.87,7950.47,7951.87
000852.SH,2016-05-16,2016-05-16T14:57:00Z,7952.32,7954.29,7952.32,7954.29
000852.SH,2016-05-16,2016-05-16T14:58:00Z,7954.58,7956.42,7954.58,7956.42
000852.SH,2016-05-16,2016-05-16T14:59:00Z,7956.34,7957.55,7956.34,7957.55
000852.SH,2016-05-16,2016-05-16T15:00:00Z,7957.62,7961.42,7957.62,7961.14
000852.SH,2016-05-17,2016-05-17T09:31:00Z,7964.51,7974.93,7964.51,7972.19
000852.SH,2016-05-17,2016-05-17T09:32:00Z,7971.93,7971.93,7962.67,7962.67
000852.SH,2016-05-17,2016-05-17T09:33:00Z,7961.58,7961.58,7953.55,7953.64
000852.SH,2016-05-17,2016-05-17T09:34:00Z,7953.02,7958.11,7953.02,7958.11
000852.SH,2016-05-17,2016-05-17T09:35:00Z,7959.37,7968.28,7959.37,7968.28
000852.SH,2016-05-17,2016-05-17T09:36:00Z,7970.29,7976.46,7970.29,7976.46
000852.SH,2016-05-17,2016-05-17T09:37:00Z,7976.6,7983.43,7976.6,7983.43
000852.SH,2016-05-17,2016-05-17T09:38:00Z,7984.41,7986.0,7984.41,7985.05
000852.SH,2016-05-17,2016-05-17T09:39:00Z,7984.18,7984.18,7981.26,7981.26
000852.SH,2016-05-17,2016-05-17T09:40:00Z,7980.45,7980.45,7975.8,7975.86
000852.SH,2016-05-17,2016-05-17T09:41:00Z,7975.28,7975.28,7968.78,7968.78
000852.SH,2016-05-17,2016-05-17T09:42:00Z,7967.97,7967.97,7963.89,7963.89
000852.SH,2016-05-17,2016-05-17T09:43:00Z,7963.63,7963.63,7961.77,7961.77
000852.SH,2016-05-17,2016-05-17T09:44:00Z,7962.01,7962.66,7961.8,7962.62
000852.SH,2016-05-17,2016-05-17T09:45:00Z,7962.57,7962.98,7960.9,7960.9
000852.SH,2016-05-17,2016-05-17T09:46:00Z,7960.94,7960.94,7954.61,7954.61
000852.SH,2016-05-17,2016-05-17T09:47:00Z,7953.37,7953.37,7950.52,7950.75
000852.SH,2016-05-17,2016-05-17T09:48:00Z,7950.61,7954.79,7950.39,7954.79
000852.SH,2016-05-17,2016-05-17T09:49:00Z,7955.14,7962.51,7955.14,7962.51
000852.SH,2016-05-17,2016-05-17T09:50:00Z,7962.57,7968.4,7962.57,7968.4
000852.SH,2016-05-17,2016-05-17T09:51:00Z,7969.05,7972.64,7969.05,7972.64
000852.SH,2016-05-17,2016-05-17T09:52:00Z,7973.13,7974.97,7973.13,7974.85
000852.SH,2016-05-17,2016-05-17T09:53:00Z,7974.96,7977.9,7974.96,7977.9
000852.SH,2016-05-17,2016-05-17T09:54:00Z,7977.72,7979.61,7977.4,7979.61
000852.SH,2016-05-17,2016-05-17T09:55:00Z,7979.75,7980.18,7979.37,7979.51
000852.SH,2016-05-17,2016-05-17T09:56:00Z,7979.53,7979.6,7977.43,7977.43
000852.SH,2016-05-17,2016-05-17T09:57:00Z,7976.4,7976.4,7973.01,7973.01
000852.SH,2016-05-17,2016-05-17T09:58:00Z,7972.83,7972.83,7970.03,7970.03
000852.SH,2016-05-17,2016-05-17T09:59:00Z,7970.33,7970.33,7968.25,7968.25
000852.SH,2016-05-17,2016-05-17T10:00:00Z,7968.1,7968.1,7965.15,7965.15
000852.SH,2016-05-17,2016-05-17T10:01:00Z,7964.79,7964.79,7959.11,7959.11
000852.SH,2016-05-17,2016-05-17T10:02:00Z,7958.35,7958.35,7950.92,7950.92
000852.SH,2016-05-17,2016-05-17T10:03:00Z,7951.08,7951.08,7949.35,7950.31
