carrier,index_symbol,period,index_records,missing_records,invalid_ohlcv_records,zero_volume_records,positive_volume_records,session_or_clock_boundary_comparisons,invalid_index_endpoint_comparisons,declared_action_day_comparisons,etf_endpoint_unavailable_comparisons,eligible_comparisons,record_coverage,positive_volume_coverage,invalid_index_records,declared_action_records,off_grid_ohlc_records,zero_nonflat_records,positive_flat_bar_fraction,positive_close_repeat_fraction,gap_at_most_one_reference_tick_fraction,gap_abs_bp_p50,gap_abs_bp_p90,gap_abs_bp_p95,gap_abs_bp_p99,tick_bp_p50,tick_bp_p90,tick_bp_p95,tick_bp_p99,gap_reference_ticks_p50,gap_reference_ticks_p90,gap_reference_ticks_p95,gap_reference_ticks_p99,etf_minute_range_bp_p50,etf_minute_range_bp_p90,etf_minute_range_bp_p95,etf_minute_range_bp_p99
512100.SH,000852.SH,2022-11,5280,0,0,0,5280,44,0,0,0,5236,1,1,0,0,0,0,0.01875,0.243506493506494,0.60122230710466,3.00542812655845,7.83620913609275,9.59438347845656,13.4983848578056,3.77500943752359,3.85653682992673,3.87596899224806,3.94632991318074,0.79434792334765,2.07125530679167,2.52297785789448,3.56821494797246,7.57862826828429,15.1114469210427,18.679021708947,23.8159902501431
512100.SH,000852.SH,2022-12,5280,0,0,6,5274,44,0,0,10,5226,1,0.998863636363636,0,0,0,6,0.0684489950701555,0.296211251435132,0.697474167623421,2.5139946492427,6.31274846655768,7.56151165760999,10.6803282253837,3.81970970206264,3.9984006397441,4.04040404040404,4.06669377795852,0.64822101576087,1.62920203934515,1.96312605116368,2.75107226360087,4.05515004055195,11.4766641162973,12.2299225438232,19.0660699243896
512100.SH,000852.SH,2023-01,3840,0,0,1,3839,32,0,0,2,3806,1,0.999739583333333,0,0,0,0,0.0677259703047669,0.343142406726222,0.733841303205465,2.28554830088129,5.76259489225514,7.07661507059452,10.0011084530416,3.82995021064726,3.89559797428905,3.91236306729264,3.96667988893296,0.597067178824164,1.51335457886814,1.86747818280209,2.66068047853674,3.89559797428862,11.0132158590313,11.5256062079382,15.7883196037098
512100.SH,000852.SH,2023-02,4800,0,0,0,4800,40,0,0,0,4760,1,1,0,0,0,0,0.0247916666666667,0.267647058823529,0.669117647058823,2.4841275659374,6.31877054975933,7.7308917223837,10.7829136708308,3.61271676300578,3.64564345607,3.65096750638919,3.66434591425431,0.688887383997689,1.75441581823733,2.14997219218948,2.98399316177407,7.17102904266843,10.9130592942876,14.4248106743599,18.1623355439689
512100.SH,000852.SH,2023-03,5520,0,0,4,5516,46,0,0,8,5466,1,0.999275362318841,0,0,0,3,0.0757795503988397,0.297475301866081,0.719173069886571,2.2536053392543,5.7718101590645,7.06531344248152,9.38304524599154,3.66434591425431,3.71195248700817,3.72162262746558,3.73692077727952,0.615565417010339,1.57796063724502,1.93245332360851,2.5624596319886,3.72717107715369,10.9609061015699,11.1317254174401,14.9507583424651
512100.SH,000852.SH,2023-04,4560,0,0,3,4557,38,0,0,6,4516,1,0.999342105263158,0,0,0,2,0.0906298003072197,0.317537643932684,0.744464127546501,2.10571340058365,5.31340559188987,6.47506589412441,8.68729119489632,3.60100828231905,3.77500943752359,3.78501135503407,3.81533765738268,0.577965299421088,1.45858782267403,1.77151825961943,2.34185340343565,3.73273609555929,10.7719928186719,11.3293051359504,15.3080750095676
512100.SH,000852.SH,2023-05,4800,0,0,9,4791,40,0,0,17,4743,1,0.998125,0,0,0,5,0.0834898768524316,0.304870335230867,0.729917773561037,2.31441560069601,5.80903468556746,7.09892435400088,10.0396298572902,3.80807311500381,3.84615384615385,3.85951370127364,3.87596899224806,0.608781157991136,1.52389321258591,1.86296385223824,2.64412500427452,3.84467512495152,11.4285714285719,11.5740740740728,18.8900225329602
512100.SH,000852.SH,2023-06,4800,0,0,7,4793,40,0,0,14,4746,1,0.998541666666667,0,0,0,3,0.100563321510536,0.34070796460177,0.755372945638432,2.1958835745141,5.39305971462513,6.54665544094946,8.73217278552037,3.80083618396047,3.86398763523957,3.87296669248644,3.88651379712398,0.578970611218882,1.42404646528468,1.71850122926188,2.27989245632588,3.83877159308979,7.79727095516656,11.5357998402979,15.4679040989946
512100.SH,000852.SH,2023-07,5040,0,0,17,5023,42,0,0,34,4964,1,0.996626984126984,0,0,0,8,0.125622138164444,0.364423851732474,0.79129734085415,2.10576225556943,4.98648748448358,6.11157692704218,8.25116247715535,3.81679389312977,3.86996904024768,3.88048117966628,3.88802488335925,0.551997297075093,1.30974759521259,1.59542555400516,2.13536944683257,3.83288616328053,7.73694390715582,11.4111829593005,15.2963671128107
512100.SH,000852.SH,2023-08,5520,0,0,3,5517,46,0,0,6,5468,1,0.99945652173913,0,0,0,2,0.0828348740257386,0.28895391367959,0.73555230431602,2.36907505501132,6.18979285755041,7.66414833950134,10.991230822769,3.98565165404544,4.14593698175788,4.17014178482068,4.21585160202361,0.595495454871531,1.54582168507481,1.89499491743114,2.71701208950032,4.21585160202314,12.3966942148765,16.4338537387017,24.6204349610186
512100.SH,000852.SH,2023-09,4800,0,0,5,4795,40,0,0,9,4751,1,0.998958333333333,0,0,0,3,0.0982273201251303,0.336350242054304,0.765312565775626,2.28368743628102,5.66319467136753,6.80904382647055,9.00495200711332,4.08997955010225,4.13907284768212,4.15800415800416,4.18410041841004,0.55713087249211,1.38224008221784,1.66296114286336,2.19980087657493,4.12711514651213,10.5601376029127,12.2950819672136,20.1341965042113
512100.SH,000852.SH,2023-10,4080,0,0,3,4077,34,0,0,6,4040,1,0.999264705882353,0,0,0,2,0.0914888398332107,0.332673267326733,0.753960396039604,2.37821538023429,6.08675227971002,7.62198338866005,10.5709920582131,4.17710944026734,4.34971726837756,4.37254044599913,4.41501103752759,0.56852859858757,1.44205711723224,1.80606181289716,2.48376344925705,4.30107526881673,12.5628140703522,13.2112035102626,21.890700888025
512100.SH,000852.SH,2023-11,5280,0,0,12,5268,44,0,0,23,5213,1,0.997727272727273,0,0,0,6,0.0918754745634017,0.31574908881642,0.741223863418377,2.47822657921238,5.92485974732977,7.2213836543276,9.99563008359677,4.06173842404549,4.16146483562214,4.18060200668896,4.20344682639765,0.610006111381942,1.45774350050185,1.77854819915896,2.45916638645615,4.11353352529778,12.0144173007614,12.2549019607848,20.1611538456539
