pair_id,event_day,control_day,horizon,clock_selected_before_eligibility,endpoint_eligible,retained_for_sensitivity,carrier
000852.SH:R1_A:426372:409330,2022-04-25,2022-01-05,1,False,True,False,512100.SH
000852.SH:R1_A:426415:419691,2022-04-26,2022-03-15,1,True,True,True,512100.SH
000852.SH:R1_A:426442:431736,2022-04-26,2022-05-31,1,True,True,True,512100.SH
000852.SH:R1_A:426499:427930,2022-04-26,2022-05-09,1,False,True,False,512100.SH
000852.SH:R1_A:426609:458022,2022-04-26,2022-11-09,1,True,True,True,512100.SH
000852.SH:R1_A:426656:419694,2022-04-27,2022-03-15,1,False,True,False,512100.SH
000852.SH:R1_A:426805:420339,2022-04-27,2022-03-17,1,True,True,True,512100.SH
000852.SH:R1_A:426834:420340,2022-04-27,2022-03-17,1,False,True,False,512100.SH
000852.SH:R1_A:426887:451857,2022-04-28,2022-09-28,1,True,True,True,512100.SH
000852.SH:R1_A:426911:437000,2022-04-28,2022-07-01,1,True,True,True,512100.SH
000852.SH:R1_A:426987:459146,2022-04-28,2022-11-16,1,True,True,True,512100.SH
000852.SH:R1_A:427064:454925,2022-04-28,2022-10-21,1,False,True,False,512100.SH
000852.SH:R1_A:427145:453309,2022-04-29,2022-10-13,1,True,True,True,512100.SH
000852.SH:R1_A:427200:454791,2022-04-29,2022-10-21,1,True,True,True,512100.SH
000852.SH:R1_A:427280:439996,2022-04-29,2022-07-19,1,True,True,True,512100.SH
000852.SH:R1_A:427364:428562,2022-05-05,2022-05-12,1,True,True,True,512100.SH
000852.SH:R1_A:427377:428564,2022-05-05,2022-05-12,1,True,True,True,512100.SH
000852.SH:R1_A:427436:430306,2022-05-05,2022-05-23,1,True,True,True,512100.SH
000852.SH:R1_A:427498:460629,2022-05-05,2022-11-24,1,True,True,True,512100.SH
