carrier,horizon,spec,n,mean_increment_bp,iid_se_bp,graph_meat_bp2,graph_variance_bp2,occupied_blocks,edge_density,maximum_degree,mean_degree,largest_block_pair_fraction,incidence_effective_blocks,maximum_blocks_per_pair,graph_se_bp,used_se_bp,df_heuristic,point_lo_bp,point_hi_bp,family14_lo_bp,family14_hi_bp,family56_lo_bp,family56_hi_bp,p_two_sided_approx,p_bonferroni14_approx,p_bonferroni56_approx,inference_status,iid_floor_applied
512100.SH,15,L5_shift0,1268,4.368361145540591,1.5597315726354521,9336848.949171413,5.835732442331631,243,0.01487654336356778,65,18.84858044164038,0.02365930599369085,180.0342153799827,4,2.4157260693902427,2.4157260693902427,242,-0.3901726258698215,9.126894916951004,-2.7400374490291624,11.476759740110346,-3.758291328659091,12.495013619740273,0.07180088782283797,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,15,L5_shift2,1268,4.368361145540591,1.5597315726354521,8007879.639925536,5.005183358858187,242,0.015375747873090014,66,19.481072555205046,0.027602523659305992,175.55221044939714,3,2.2372267115467284,2.2372267115467284,241,-0.03865379118567258,8.775376082266856,-2.21506391240528,10.951786203486463,-3.1582007132602454,11.894923004341429,0.0520272815447158,0.7283819416260212,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,30,L20_shift0,1259,7.073796684740678,2.1982850496093547,21051549.47775448,13.513140135518421,61,0.05163459025067211,186,64.95631453534551,0.06751389992057188,50.4851298552057,3,3.676022325220349,3.676022325220349,60,-0.27934276607338315,14.42693613555474,-4.07655661966861,18.224149989149964,-5.780376501209288,19.927969870690646,0.05906241318180701,0.8268737845452981,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,30,L20_shift10,1259,7.073796684740678,2.1982850496093547,19653844.832798947,12.612553058604956,62,0.051724246790359016,178,65.06910246227164,0.06274821286735505,50.881959065336694,3,3.551415641487906,3.551415641487906,61,-0.027697792098469343,14.175291161579825,-3.6913770823889074,17.838970451870264,-5.334033220582558,19.481626590063915,0.050872282384923195,0.7122119533889247,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,30,L5_shift0,1259,7.073796684740678,2.1982850496093547,21963688.514151804,13.924827131835974,243,0.015146904134429248,65,19.054805401111995,0.023828435266084195,179.43568215892054,4,3.7315984687310575,3.7315984687310575,242,-0.27676245348238115,14.424355822963737,-3.9066243351483383,18.054217704629693,-5.479532234828202,19.62712560430956,0.059198122998363634,0.8287737219770909,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,30,L5_shift2,1259,7.073796684740678,2.1982850496093547,19216955.483094923,12.183417322180057,243,0.015617916659826673,66,19.647339158061953,0.02779984114376489,175.59040052480046,4,3.4904752287016816,3.4904752287016816,242,0.19820575391925477,13.949387615562102,-3.197106761007346,17.344700130488704,-4.668378685590568,18.815972055071924,0.04380011863656024,0.6132016609118434,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,60,L20_shift0,1261,6.976346922546371,3.307574101168207,40278241.93065669,25.772910113436236,61,0.05256095565373916,212,66.22680412371135,0.06819984139571768,50.63108999202417,4,5.076702681213096,5.076702681213096,60,-3.1785703936981413,17.131264238790884,-8.422642394955878,22.375336240048618,-10.77567134735846,24.7283651924512,0.17449481547696327,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,60,L20_shift10,1261,6.976346922546371,3.307574101168207,34255982.865348876,21.913545784364107,62,0.05234318945659152,178,65.95241871530531,0.0626486915146709,50.943364634008375,3,4.681190637472918,4.681190637472918,61,-2.3842722820019695,16.336966127094712,-7.21343983762654,21.166133682719284,-9.378657123057513,23.331350968150254,0.14130010134554136,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,60,L5_shift0,1261,6.976346922546371,3.307574101168207,38084442.13679218,24.068713331967682,243,0.015924625202975717,74,20.065027755749405,0.025376685170499604,180.77441638031812,4,4.905987498146289,4.905987498146289,242,-2.687541499181439,16.64023534427418,-7.459774407055539,21.41246825214828,-9.527699602176819,23.480393447269563,0.15631185877998544,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,60,L5_shift2,1261,6.976346922546371,3.307574101168207,36290400.598603435,22.934909892410605,243,0.01605931296652946,65,20.23473433782712,0.02696272799365583,176.59487595722908,4,4.789040602501779,4.789040602501779,242,-2.4571777342507257,16.409871579343466,-7.115652132940012,21.068345978032752,-9.134282984754085,23.086976829846826,0.14648672868277146,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
