symbol,stage,group,feature,original_events,matched_events,original_event_SD,matched_SMD,retention_shift_SMD,matched_event_control_variance_ratio,gate_required,balance_pass
000688.SH,PAST_NEAREST,SIDE_SHORT,local_vol_30_over_240,92,69,0.491120899007,-0.0327835868897,0.125742777354,1.33430409341,True,False
000688.SH,PAST_NEAREST,YEAR_SIDE_2020_LONG,parent_abs_drift,64,53,0.22555968713,-0.332873053363,0.00863129727752,0.81568915856,True,False
000688.SH,PAST_NEAREST,YEAR_SIDE_2020_LONG,parent_efficiency,64,53,0.114930587763,-0.141548401042,-0.0097967538253,1.28682476349,True,False
000688.SH,PAST_NEAREST,YEAR_SIDE_2020_LONG,log1p_parent_age_bars,64,53,1.37446466258,0.0261394070168,0.101798740626,0.901147135449,True,False
000688.SH,PAST_NEAREST,YEAR_SIDE_2020_LONG,local_vol_30_over_240,64,53,0.602290546561,-0.146692733651,0.101456518224,0.837533053914,True,False
000688.SH,PAST_NEAREST,YEAR_SIDE_2020_SHORT,parent_abs_drift,92,69,0.187038203985,0.347375862342,0.0845569936354,2.36570963037,True,False
000688.SH,PAST_NEAREST,YEAR_SIDE_2020_SHORT,parent_efficiency,92,69,0.0851081223054,0.342657449063,-0.095833297244,4.01201812991,True,False
000688.SH,PAST_NEAREST,YEAR_SIDE_2020_SHORT,log1p_parent_age_bars,92,69,1.18235166207,0.00200302651677,0.0660727133908,0.990026952005,True,True
000688.SH,PAST_NEAREST,YEAR_SIDE_2020_SHORT,local_vol_30_over_240,92,69,0.491120899007,-0.0327835868897,0.125742777354,1.33430409341,True,False
000852.SH,PAST_CALIPER,POOLED,parent_abs_drift,1752,414,0.198190766888,-0.0191638436903,-0.583342706934,0.979218964662,True,False
000852.SH,PAST_CALIPER,POOLED,parent_efficiency,1752,414,0.132238972564,0.00156622334666,-0.641939727055,1.04676164675,True,False
000852.SH,PAST_CALIPER,POOLED,log1p_parent_age_bars,1752,414,1.34809192989,0.00274198022003,0.46506829971,1.00035783405,True,False
000852.SH,PAST_CALIPER,POOLED,local_vol_30_over_240,1752,414,0.564590880443,0.00923230367226,-0.232043924673,0.985616482131,True,False
000852.SH,PAST_CALIPER,YEAR_2015,parent_abs_drift,645,119,0.199862706372,-0.0317636604557,-0.637552394856,0.982602981917,True,False
000852.SH,PAST_CALIPER,YEAR_2015,parent_efficiency,645,119,0.148640800907,0.0133846246918,-0.692447444161,1.04495706241,True,False
000852.SH,PAST_CALIPER,YEAR_2015,log1p_parent_age_bars,645,119,1.17364897435,-0.0227597375726,0.457568638223,0.986293570848,True,False
000852.SH,PAST_CALIPER,YEAR_2015,local_vol_30_over_240,645,119,0.562680224068,0.0230770878015,-0.322953310791,0.920584700831,True,False
000852.SH,PAST_CALIPER,YEAR_2016,parent_abs_drift,326,41,0.197894075269,0.0462914460031,-0.612012555273,1.06165634875,True,False
000852.SH,PAST_CALIPER,YEAR_2016,parent_efficiency,326,41,0.129725475172,-0.0073401079785,-0.697194564385,1.08107671438,True,False
000852.SH,PAST_CALIPER,YEAR_2016,log1p_parent_age_bars,326,41,1.25239635452,0.0227153514458,0.729928561349,0.905144055211,True,False
000852.SH,PAST_CALIPER,YEAR_2016,local_vol_30_over_240,326,41,0.516910206966,-0.0202982333102,-0.478677059724,1.0906614196,True,False
000852.SH,PAST_CALIPER,YEAR_2017,parent_abs_drift,96,33,0.213183572572,-0.0569775513331,-0.528570595602,0.925062266918,True,False
000852.SH,PAST_CALIPER,YEAR_2017,parent_efficiency,96,33,0.100110085606,-0.00613595922575,-0.46775599185,1.0321901012,True,False
000852.SH,PAST_CALIPER,YEAR_2017,log1p_parent_age_bars,96,33,1.18871488897,0.0671291760761,0.443253571114,1.11746854485,True,False
000852.SH,PAST_CALIPER,YEAR_2017,local_vol_30_over_240,96,33,0.510683333845,-0.0190211160402,-0.155668149478,1.02697589414,True,False
000852.SH,PAST_CALIPER,YEAR_2018,parent_abs_drift,209,72,0.189000732644,-0.0677017278609,-0.659120352876,1.06443279005,True,False
000852.SH,PAST_CALIPER,YEAR_2018,parent_efficiency,209,72,0.111517812819,0.00861534461107,-0.620110399107,0.980231365338,True,False
000852.SH,PAST_CALIPER,YEAR_2018,log1p_parent_age_bars,209,72,1.13223226923,0.0256050819353,0.194696939385,0.932364521585,True,False
000852.SH,PAST_CALIPER,YEAR_2018,local_vol_30_over_240,209,72,0.612446677277,0.022969451054,-0.253149777887,1.02552794938,True,False
000852.SH,PAST_CALIPER,YEAR_2019,parent_abs_drift,201,85,0.211208627776,0.010916289352,-0.45759725702,0.984173527777,True,False
000852.SH,PAST_CALIPER,YEAR_2019,parent_efficiency,201,85,0.108326544086,-0.0108258747445,-0.528874165698,1.08694392444,True,False
000852.SH,PAST_CALIPER,YEAR_2019,log1p_parent_age_bars,201,85,1.31213082061,-0.00301343488537,0.235506157527,1.03986196705,True,False
000852.SH,PAST_CALIPER,YEAR_2019,local_vol_30_over_240,201,85,0.583143514122,-0.0163631572275,-0.0571623454754,0.97983094479,True,True
000852.SH,PAST_CALIPER,YEAR_2020,parent_abs_drift,275,64,0.18062976424,-0.00574353672655,-0.644135586073,0.932025059353,True,False
000852.SH,PAST_CALIPER,YEAR_2020,parent_efficiency,275,64,0.106990264029,-0.00893577751809,-0.664596576417,0.941836454384,True,False
000852.SH,PAST_CALIPER,YEAR_2020,log1p_parent_age_bars,275,64,1.20697051035,-0.0108991188012,0.355369529452,0.908263289996,True,False
000852.SH,PAST_CALIPER,YEAR_2020,local_vol_30_over_240,275,64,0.577534203097,0.0314294001029,-0.0817715470292,0.985008510065,True,True
000852.SH,PAST_CALIPER,SIDE_LONG,parent_abs_drift,919,220,0.201502331071,-0.0219904491508,-0.490413033278,0.966952310794,True,False
000852.SH,PAST_CALIPER,SIDE_LONG,parent_efficiency,919,220,0.120270267684,0.00846414206401,-0.558900242032,1.05574046773,True,False
000852.SH,PAST_CALIPER,SIDE_LONG,log1p_parent_age_bars,919,220,1.40582915151,0.00429106676774,0.444861988197,0.987071324493,True,False
000852.SH,PAST_CALIPER,SIDE_LONG,local_vol_30_over_240,919,220,0.534438396088,0.0203637779587,-0.241243210131,1.00108152592,True,False
000852.SH,PAST_CALIPER,SIDE_SHORT,parent_abs_drift,833,194,0.194100964438,-0.0158692046772,-0.692500596415,0.996926563458,True,False
000852.SH,PAST_CALIPER,SIDE_SHORT,parent_efficiency,833,194,0.14226956869,-0.00500757999702,-0.734106937968,1.03367935187,True,False
000852.SH,PAST_CALIPER,SIDE_SHORT,log1p_parent_age_bars,833,194,1.27278829506,0.000822835298906,0.491617486735,1.01627059993,True,False
000852.SH,PAST_CALIPER,SIDE_SHORT,local_vol_30_over_240,833,194,0.596089086904,-0.00204370127101,-0.22371893052,0.968959541422,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2015_LONG,parent_abs_drift,364,64,0.202666129307,-0.023190236088,-0.451619190932,0.933385558931,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2015_LONG,parent_efficiency,364,64,0.137414176254,0.0290498973634,-0.556068923127,1.02484697852,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2015_LONG,log1p_parent_age_bars,364,64,1.24347527661,-0.0409501254149,0.509975584902,0.978505100337,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2015_LONG,local_vol_30_over_240,364,64,0.516978527001,0.0265475430658,-0.40671723979,0.926895315511,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2015_SHORT,parent_abs_drift,281,55,0.195741191576,-0.0422324023105,-0.869433995372,1.07794728113,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2015_SHORT,parent_efficiency,281,55,0.158804367677,-0.00214430501411,-0.857891886222,1.06693619756,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2015_SHORT,log1p_parent_age_bars,281,55,1.05161802846,0.00138641437591,0.419915713922,1.03119479256,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2015_SHORT,local_vol_30_over_240,281,55,0.614699736085,0.0197243047207,-0.24800963121,0.910454746171,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2016_LONG,parent_abs_drift,176,27,0.199003297672,0.0537909612973,-0.530724322279,1.04401828437,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2016_LONG,parent_efficiency,176,27,0.105939640707,0.00141788975681,-0.588794865862,0.952320843896,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2016_LONG,log1p_parent_age_bars,176,27,1.30677075015,0.0540782646171,0.573979216035,0.878296092583,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2016_LONG,local_vol_30_over_240,176,27,0.453903736549,-0.0011043931113,-0.362690554184,1.09060987659,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2016_SHORT,parent_abs_drift,150,14,0.194714795452,0.0317568113772,-0.709804668397,1.09599153634,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2016_SHORT,parent_efficiency,150,14,0.146086539959,-0.0210715846767,-0.842543262178,1.34323793198,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2016_SHORT,log1p_parent_age_bars,150,14,1.12890839091,-0.0469252040475,0.938605980873,0.984396105096,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2016_SHORT,local_vol_30_over_240,150,14,0.578105262431,-0.0514800146023,-0.647806096774,1.06539801404,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2017_LONG,parent_abs_drift,41,16,0.203258027538,-0.0233518660976,-0.431322738673,0.887948169254,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2017_LONG,parent_efficiency,41,16,0.0584905881226,0.0412890821063,-0.259145417228,1.02382751355,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2017_LONG,log1p_parent_age_bars,41,16,1.25886690928,0.0837309412488,0.303232329538,1.11363440321,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2017_LONG,local_vol_30_over_240,41,16,0.586403206121,-0.000869063935477,-0.389589944251,0.995688544897,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2017_SHORT,parent_abs_drift,55,17,0.215469637091,-0.0886973897485,-0.595715264052,0.960327024438,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2017_SHORT,parent_efficiency,55,17,0.113429396066,-0.030550914065,-0.606676727076,1.06703263446,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2017_SHORT,log1p_parent_age_bars,55,17,1.11667134307,0.0498760741638,0.564219299481,1.1199586522,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2017_SHORT,local_vol_30_over_240,55,17,0.418002674998,-0.0439626175341,0.0814307272407,1.04308026254,True,True
000852.SH,PAST_CALIPER,YEAR_SIDE_2018_LONG,parent_abs_drift,81,29,0.179023202823,-0.0501320452249,-0.585106848724,0.807648992421,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2018_LONG,parent_efficiency,81,29,0.105335417176,0.0245035732315,-0.518048590925,1.05242395799,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2018_LONG,log1p_parent_age_bars,81,29,1.11117331931,-0.0250668103596,0.0593382504371,0.870722502169,True,True
000852.SH,PAST_CALIPER,YEAR_SIDE_2018_LONG,local_vol_30_over_240,81,29,0.593287321968,0.0556570234997,-0.149162370791,1.10255078751,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2018_SHORT,parent_abs_drift,128,43,0.194629468116,-0.0789836542271,-0.706064372964,1.19678036921,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2018_SHORT,parent_efficiency,128,43,0.114506333192,-0.00115291545953,-0.685125207821,0.949789943215,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2018_SHORT,log1p_parent_age_bars,128,43,1.12578280362,0.0598053803545,0.280706149912,1.01334768702,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2018_SHORT,local_vol_30_over_240,128,43,0.623676696185,0.00206081058627,-0.322331766993,0.955234432703,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2019_LONG,parent_abs_drift,105,42,0.226406394316,-0.0191497082802,-0.386019010936,1.0287185987,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2019_LONG,parent_efficiency,105,42,0.106753330337,-0.00551855722607,-0.458638876342,1.13461260685,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2019_LONG,log1p_parent_age_bars,105,42,1.3684123122,-0.00116279529343,0.174985885639,1.11222692602,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2019_LONG,local_vol_30_over_240,105,42,0.604155461693,-0.0185948894281,-0.180857197365,1.00304338852,True,False
