symbol,stage,cohort,horizon,pairs,unique_controls,maximum_exact_reuse,control_inclusive_overlap_pairs,maximum_control_increment_multiplicity,control_increment_minutes_used_more_than_once,event_control_shared_increment_minutes,within_pair_interval_overlaps,event_unit_energy,control_unit_energy,net_unit_energy,control_unit_energy_ratio_NOT_variance_effect,unit_covariance_cancellation_NOT_observed_noise,control_calendar_HHI_unit_incidence,largest_control_day_unit_share,control_after_event_count,full_240_maturity_violations
000852.SH,PAST_NEAREST,NEW_ASSIGNMENT_SAME_EVENTS,60,1645,1333,8,8588,44,16894,6079,0,117258,578108,666616,5.85722391084,0.0413451333542,0.00927692361387,0.049726443769,0,0
000852.SH,PAST_NEAREST,ORIGINAL_REFERENCE_SAME_EVENTS,60,1645,1401,7,5829,31,16851,20582,345,117258,459840,505642,4.65896656535,0.123819524587,0.00625063577264,0.0345390070922,570,918
000852.SH,PAST_NEAREST,NEW_ASSIGNMENT_SAME_EVENTS,120,1645,1333,8,12667,66,31365,14744,0,276766,1444270,1646024,7.31646403242,0.0435853753204,0.00872657080034,0.0484498480243,0,0
000852.SH,PAST_NEAREST,ORIGINAL_REFERENCE_SAME_EVENTS,120,1645,1401,7,8541,45,35155,42080,345,276766,1099736,1206568,5.57110435664,0.123453507514,0.00592866222391,0.033946301925,570,918
000852.SH,PAST_NEAREST,NEW_ASSIGNMENT_SAME_EVENTS,240,1645,1333,8,17158,87,54880,34574,0,684006,3363206,3840630,8.51875886525,0.0510430390106,0.0076505104992,0.0389539007092,0,0
000852.SH,PAST_NEAREST,ORIGINAL_REFERENCE_SAME_EVENTS,240,1645,1401,7,11457,63,69459,85405,348,684006,2505026,2758884,6.34505065856,0.134883563414,0.00530347038091,0.0281560283688,570,918
000852.SH,PAST_CALIPER,NEW_ASSIGNMENT_SAME_EVENTS,1,414,406,3,21,3,7,0,0,414,432,846,1.04347826087,0,0.00821489416322,0.0338164251208,0,0
000852.SH,PAST_CALIPER,ORIGINAL_REFERENCE_SAME_EVENTS,1,414,410,3,16,3,3,0,94,414,424,838,1.02415458937,0,0.00646456160004,0.0289855072464,49,169
000852.SH,PAST_CALIPER,NEW_ASSIGNMENT_SAME_EVENTS,5,414,406,3,49,5,94,14,0,2070,2342,4384,1.13140096618,0.00634632819583,0.00798338350953,0.0304347826087,0,0
000852.SH,PAST_CALIPER,ORIGINAL_REFERENCE_SAME_EVENTS,5,414,410,3,42,5,59,420,115,2070,2272,3490,1.09758454106,0.196222938738,0.00627319190646,0.0265700483092,49,169
000852.SH,PAST_CALIPER,NEW_ASSIGNMENT_SAME_EVENTS,15,414,406,3,99,5,551,60,0,6216,7916,14012,1.27471819646,0.0084913671101,0.00788059360908,0.0294685990338,0,0
000852.SH,PAST_CALIPER,ORIGINAL_REFERENCE_SAME_EVENTS,15,414,410,3,75,5,404,1606,119,6216,7554,10468,1.21642512077,0.239796659405,0.00620323046564,0.0265700483092,49,169
000852.SH,PAST_CALIPER,NEW_ASSIGNMENT_SAME_EVENTS,30,414,406,3,169,5,1654,168,0,12484,17880,30016,1.43961352657,0.0114609405875,0.00775742205834,0.0292270531401,0,0
000852.SH,PAST_CALIPER,ORIGINAL_REFERENCE_SAME_EVENTS,30,414,410,3,116,5,1157,3428,120,12484,16326,21730,1.31449275362,0.245748004165,0.00607797148125,0.0265700483092,49,169
000852.SH,PAST_CALIPER,NEW_ASSIGNMENT_SAME_EVENTS,60,414,406,3,286,7,4331,478,0,25714,41586,66190,1.67415458937,0.0164933135215,0.00753560954359,0.0291867954911,0,0
000852.SH,PAST_CALIPER,ORIGINAL_REFERENCE_SAME_EVENTS,60,414,410,3,198,6,3238,7088,120,25714,35774,46426,1.44017713366,0.24495836586,0.00580075445816,0.0259661835749,49,169
000852.SH,PAST_CALIPER,NEW_ASSIGNMENT_SAME_EVENTS,120,414,406,3,454,9,9959,1392,0,54836,95508,147134,1.92246376812,0.0213510349598,0.00668951255831,0.0260064412238,0,0
000852.SH,PAST_CALIPER,ORIGINAL_REFERENCE_SAME_EVENTS,120,414,410,3,311,9,7848,14433,120,54836,79758,102198,1.60543478261,0.240694235999,0.00521185587762,0.0233293075684,49,169
000852.SH,PAST_CALIPER,NEW_ASSIGNMENT_SAME_EVENTS,240,414,406,3,682,14,20441,4250,0,117868,216470,326278,2.17864331723,0.0241073404758,0.00578912325518,0.0201086956522,0,0
000852.SH,PAST_CALIPER,ORIGINAL_REFERENCE_SAME_EVENTS,240,414,410,3,467,13,17379,29520,120,117868,177772,224054,1.78917069243,0.24213908808,0.00447973734801,0.0184380032206,49,169
000852.SH,PAST_CALIPER_EXCLUSIVE,NEW_ASSIGNMENT_SAME_EVENTS,1,241,241,1,0,1,0,0,0,241,241,482,1,0,0.00414937759336,0.00414937759336,0,0
000852.SH,PAST_CALIPER_EXCLUSIVE,ORIGINAL_REFERENCE_SAME_EVENTS,1,241,241,1,1,1,0,0,73,241,241,482,1,0,0.00501024431398,0.0124481327801,32,128
000852.SH,PAST_CALIPER_EXCLUSIVE,NEW_ASSIGNMENT_SAME_EVENTS,5,241,241,1,0,1,0,14,0,1205,1205,2382,1,0.0116182572614,0.00412733940531,0.00414937759336,0,0
000852.SH,PAST_CALIPER_EXCLUSIVE,ORIGINAL_REFERENCE_SAME_EVENTS,5,241,241,1,2,2,4,336,92,1205,1213,1740,1.00663900415,0.280397022333,0.00498131919216,0.0124481327801,32,128
000852.SH,PAST_CALIPER_EXCLUSIVE,NEW_ASSIGNMENT_SAME_EVENTS,15,241,241,1,0,1,0,74,0,3615,3615,7082,1,0.0204702627939,0.00409275169352,0.00414937759336,0,0
000852.SH,PAST_CALIPER_EXCLUSIVE,ORIGINAL_REFERENCE_SAME_EVENTS,15,241,241,1,3,2,26,1285,95,3615,3667,4668,1.01438450899,0.358967316671,0.00492025504611,0.0124481327801,32,128
000852.SH,PAST_CALIPER_EXCLUSIVE,NEW_ASSIGNMENT_SAME_EVENTS,30,241,241,1,0,1,0,222,0,7238,7230,14024,1,0.0306884158142,0.00405946484699,0.00414937759336,0,0
000852.SH,PAST_CALIPER_EXCLUSIVE,ORIGINAL_REFERENCE_SAME_EVENTS,30,241,241,1,5,2,85,2732,96,7238,7348,9016,1.0163208852,0.381873028932,0.00481473191654,0.0107883817427,32,128
000852.SH,PAST_CALIPER_EXCLUSIVE,NEW_ASSIGNMENT_SAME_EVENTS,60,241,241,1,0,1,0,726,0,14746,14460,27818,1,0.047524481271,0.00388421151304,0.00414937759336,0,0
000852.SH,PAST_CALIPER_EXCLUSIVE,ORIGINAL_REFERENCE_SAME_EVENTS,60,241,241,1,15,2,364,5671,96,14746,14960,18000,1.03457814661,0.394061805696,0.00458509093622,0.0114107883817,32,128
000852.SH,PAST_CALIPER_EXCLUSIVE,NEW_ASSIGNMENT_SAME_EVENTS,120,241,241,1,0,1,0,2018,0,30822,28920,56140,1,0.0602925914767,0.00351649468463,0.00414937759336,0,0
000852.SH,PAST_CALIPER_EXCLUSIVE,ORIGINAL_REFERENCE_SAME_EVENTS,120,241,241,1,24,2,1522,11551,96,30822,31064,37148,1.07413554633,0.399734996607,0.00420191915888,0.0116874135546,32,128
000852.SH,PAST_CALIPER_EXCLUSIVE,NEW_ASSIGNMENT_SAME_EVENTS,240,241,241,1,0,1,0,5657,0,66162,57840,114962,1,0.0729020499669,0.00297066931431,0.00413208852006,0,0
000852.SH,PAST_CALIPER_EXCLUSIVE,ORIGINAL_REFERENCE_SAME_EVENTS,240,241,241,1,38,3,4966,23535,96,66162,64508,76928,1.1152835408,0.411280324482,0.00350972253309,0.0094571230982,32,128
