policy,switch_margin,min_new_probability,confirmation_bars,min_balanced_accuracy,min_macro_f1,min_transition_f1,max_false_transitions_per_day,mean_false_transitions_per_day,fold_2022_000688_SH_balanced_accuracy_4state,fold_2022_000688_SH_macro_f1_4state,fold_2022_000688_SH_transition_f1,fold_2022_000688_SH_false_transitions_per_day,fold_2022_000688_SH_exact_accuracy_including_abstention,fold_2022_000688_SH_online_concrete_coverage,fold_2022_000852_SH_balanced_accuracy_4state,fold_2022_000852_SH_macro_f1_4state,fold_2022_000852_SH_transition_f1,fold_2022_000852_SH_false_transitions_per_day,fold_2022_000852_SH_exact_accuracy_including_abstention,fold_2022_000852_SH_online_concrete_coverage,fold_2023_000688_SH_balanced_accuracy_4state,fold_2023_000688_SH_macro_f1_4state,fold_2023_000688_SH_transition_f1,fold_2023_000688_SH_false_transitions_per_day,fold_2023_000688_SH_exact_accuracy_including_abstention,fold_2023_000688_SH_online_concrete_coverage,fold_2023_000852_SH_balanced_accuracy_4state,fold_2023_000852_SH_macro_f1_4state,fold_2023_000852_SH_transition_f1,fold_2023_000852_SH_false_transitions_per_day,fold_2023_000852_SH_exact_accuracy_including_abstention,fold_2023_000852_SH_online_concrete_coverage,fold_2024_000688_SH_balanced_accuracy_4state,fold_2024_000688_SH_macro_f1_4state,fold_2024_000688_SH_transition_f1,fold_2024_000688_SH_false_transitions_per_day,fold_2024_000688_SH_exact_accuracy_including_abstention,fold_2024_000688_SH_online_concrete_coverage,fold_2024_000852_SH_balanced_accuracy_4state,fold_2024_000852_SH_macro_f1_4state,fold_2024_000852_SH_transition_f1,fold_2024_000852_SH_false_transitions_per_day,fold_2024_000852_SH_exact_accuracy_including_abstention,fold_2024_000852_SH_online_concrete_coverage
margin0.00_minp0.65_confirm3,0.0,0.65,3,0.72823944014948,0.7347739767218604,0.17506631299734748,1.1487603305785123,1.0853994490358128,0.7820825268222158,0.7721232311695037,0.19270833333333334,1.1487603305785123,0.7701564380264742,0.98014440433213,0.8176755852207688,0.8189311433443457,0.2355889724310777,1.06198347107438,0.8119747899159664,0.9884453781512605,0.7916617346832022,0.795557704861289,0.1962864721485411,1.0578512396694215,0.7895604395604395,0.9758241758241758,0.8391563909447228,0.8365097654964135,0.23267326732673266,1.1074380165289257,0.8288334182373918,0.9847172694854814,0.72823944014948,0.7347739767218604,0.17506631299734748,1.115702479338843,0.7560414269275029,0.9781357882623706,0.801180420813083,0.7876715875369276,0.19999999999999996,1.0206611570247934,0.7842391304347827,0.9842391304347826
margin0.00_minp0.65_confirm4,0.0,0.65,4,0.6713766833136046,0.6886946630669081,0.2093862815884477,0.71900826446281,0.6735537190082644,0.7216058988625349,0.7226415032380377,0.28776978417266186,0.6983471074380165,0.6991576413959085,0.9320096269554753,0.7485683385777886,0.7623230884057117,0.3181818181818182,0.6776859504132231,0.740546218487395,0.9501050420168067,0.7207639560062977,0.7420719079214845,0.2805755395683453,0.640495867768595,0.721978021978022,0.9291208791208792,0.7581799327906361,0.7771960885659147,0.31756756756756754,0.6611570247933884,0.7452878247580235,0.9230769230769231,0.6713766833136046,0.6886946630669081,0.2093862815884477,0.71900826446281,0.6927502876869965,0.9390103567318757,0.7436208667834783,0.7458364752204811,0.24,0.6446280991735537,0.7288043478260869,0.9440217391304347
margin0.05_minp0.00_confirm2,0.05,0.0,2,0.7791834551965972,0.7812429014105315,0.057692307692307696,2.822314049586777,2.674242424242424,0.8169765666565142,0.8094696638235599,0.06435006435006435,2.822314049586777,0.8194945848375451,1.0,0.8637270503833843,0.8610876788993227,0.09473684210526316,2.5991735537190084,0.8602941176470589,1.0,0.8295346558242598,0.8267016537282328,0.07802340702210664,2.706611570247934,0.8302197802197803,1.0,0.8644785364174519,0.8598902890800112,0.09724047306176084,2.62396694214876,0.8599083036169128,1.0,0.7791834551965972,0.7812429014105315,0.057692307692307696,2.615702479338843,0.7963176064441887,1.0,0.8218773075314502,0.815456634475035,0.08104575163398692,2.677685950413223,0.8228260869565217,1.0
margin0.05_minp0.00_confirm3,0.05,0.0,3,0.7747309599450254,0.7765044683711193,0.11870503597122305,1.8760330578512396,1.7134986225895317,0.8113389776629014,0.801008250684356,0.11870503597122305,1.8760330578512396,0.8116726835138387,1.0,0.848660986082164,0.847227795156789,0.17059891107078037,1.6900826446280992,0.845063025210084,0.9989495798319328,0.828870674963366,0.8271881531610374,0.15151515151515152,1.6694214876033058,0.8291208791208792,0.9972527472527473,0.8635847054763497,0.8585197853489469,0.18411552346570395,1.7107438016528926,0.8578706062149771,0.999490575649516,0.7747309599450254,0.7765044683711193,0.12915851272015658,1.6694214876033058,0.7974683544303798,0.9994246260069045,0.825507418083734,0.8163884481797496,0.14772727272727276,1.665289256198347,0.8239130434782609,0.9989130434782608
margin0.05_minp0.00_confirm4,0.05,0.0,4,0.7520860595462928,0.7533622328008456,0.17500000000000002,1.2975206611570247,1.1880165289256197,0.792061461833647,0.7772661589500048,0.1976470588235294,1.2975206611570247,0.7833935018050542,0.9963898916967509,0.8111130535652685,0.8107820539805213,0.24113475177304963,1.1446280991735538,0.803046218487395,0.9868697478991597,0.7911643235346386,0.7930811052602684,0.20388349514563106,1.1818181818181819,0.7934065934065934,0.9906593406593407,0.8354227450022661,0.834015649834048,0.24401913875598086,1.1487603305785123,0.8273051451859399,0.9877738155883852,0.7520860595462928,0.7533622328008456,0.17500000000000002,1.2024793388429753,0.7692750287686997,0.9925201380897584,0.8075350872187937,0.7957303878109663,0.21951219512195125,1.1528925619834711,0.7983695652173913,0.9923913043478261
margin0.05_minp0.45_confirm2,0.05,0.45,2,0.7774339264397006,0.7795025183598884,0.05890603085553998,2.772727272727273,2.6101928374655645,0.8173851481012385,0.8092796249454867,0.06788511749347258,2.772727272727273,0.8194945848375451,1.0,0.8633333495959826,0.8603832099251871,0.09587217043941412,2.56198347107438,0.8597689075630253,1.0,0.8289886691080602,0.8263180198386678,0.08053691275167786,2.6074380165289255,0.8302197802197803,1.0,0.8675454426845478,0.8629050678260707,0.09986504723346828,2.541322314049587,0.8629648497198166,1.0,0.7774339264397006,0.7795025183598884,0.05890603085553998,2.553719008264463,0.7945914844649021,1.0,0.8205843810903024,0.8141805219931401,0.08244680851063829,2.62396694214876,0.8217391304347826,1.0
margin0.05_minp0.45_confirm3,0.05,0.45,3,0.7735856184829331,0.7755194587611806,0.12132352941176469,1.8264462809917354,1.6701101928374655,0.8113599622084008,0.8004405094251328,0.12132352941176469,1.8264462809917354,0.8110709987966306,1.0,0.8540891806369956,0.8517065306995393,0.17375231053604437,1.6487603305785123,0.8497899159663865,0.9984243697478992,0.8230694418678638,0.8227383524355123,0.15355086372360843,1.640495867768595,0.8252747252747252,0.9961538461538462,0.8707357890769145,0.8654519282521871,0.1895910780669145,1.6446280991735538,0.8644931227712684,0.999490575649516,0.7735856184829331,0.7755194587611806,0.132,1.6239669421487604,0.7957422324510932,0.997698504027618,0.8262415945863328,0.8170546913462842,0.1532567049808429,1.6363636363636365,0.8244565217391304,0.9989130434782608
margin0.05_minp0.45_confirm4,0.05,0.45,4,0.7536614040741304,0.7562810194148302,0.17902813299232734,1.2396694214876034,1.1549586776859504,0.7893874787311299,0.7756479780919641,0.20437956204379562,1.2396694214876034,0.779783393501805,0.9939831528279182,0.8111607879547593,0.8123007610013596,0.24401913875598089,1.1239669421487604,0.803046218487395,0.9821428571428571,0.7898584583989863,0.7920376556401455,0.20792079207920794,1.1487603305785123,0.7923076923076923,0.9901098901098901,0.8347489207340066,0.8338888980886123,0.2481751824817518,1.1198347107438016,0.826286296484972,0.9857361181864494,0.7536614040741304,0.7562810194148302,0.17902813299232734,1.165289256198347,0.7710011507479861,0.9884925201380897,0.8078178947579581,0.7958011838884652,0.21782178217821785,1.1322314049586777,0.7978260869565217,0.9918478260869565
margin0.05_minp0.55_confirm2,0.05,0.55,2,0.7792401927353442,0.7818674692021021,0.08077544426494346,2.450413223140496,2.268595041322314,0.8191293341477501,0.8097238054621153,0.08946608946608946,2.450413223140496,0.8194945848375451,1.0,0.8554218903645571,0.8519825523876031,0.10843373493975904,2.2024793388429753,0.8513655462184874,1.0,0.8335771859793338,0.8294945093898058,0.08408408408408408,2.2892561983471076,0.8324175824175825,0.9994505494505495,0.8687594364527518,0.8639376841120234,0.11764705882352942,2.2107438016528924,0.8639836984207845,1.0,0.7792401927353442,0.7818674692021021,0.08077544426494346,2.1487603305785123,0.7991944764096662,0.9994246260069045,0.8195395841085552,0.8113476837431637,0.09453471196454949,2.309917355371901,0.8190217391304347,1.0
margin0.05_minp0.55_confirm3,0.05,0.55,3,0.7686176710006454,0.7718294211139248,0.1434426229508197,1.5867768595041323,1.440082644628099,0.8059504293163393,0.7911455692495082,0.1434426229508197,1.5867768595041323,0.7966305655836342,0.9957882069795427,0.8379611752890708,0.8347282761186687,0.19206680584551147,1.396694214876033,0.8314075630252101,0.9968487394957983,0.8099454455286187,0.810492504912791,0.16560509554140126,1.43801652892562,0.8098901098901099,0.9917582417582418,0.8579459344065046,0.8538958702945969,0.21894736842105264,1.3801652892561984,0.8497198166072338,0.9923586347427407,0.7686176710006454,0.7718294211139248,0.16263736263736264,1.421487603305785,0.7911392405063291,0.996547756041427,0.8202306451205259,0.8100555987063297,0.17834394904458598,1.4173553719008265,0.8135869565217392,0.9951086956521739
margin0.05_minp0.55_confirm4,0.05,0.55,4,0.7301582380332744,0.7353668422948917,0.19186046511627905,1.06198347107438,0.9683195592286502,0.7729314342111613,0.7625183148971888,0.21857923497267762,1.06198347107438,0.7581227436823105,0.9771359807460891,0.7869800188436209,0.791283520079142,0.25268817204301075,0.9504132231404959,0.7783613445378151,0.9747899159663865,0.7676608243702775,0.7736300485127632,0.21917808219178084,0.9958677685950413,0.7681318681318682,0.9741758241758242,0.8141852237153162,0.8191752922902201,0.2808988764044944,0.8966942148760331,0.803871625063678,0.9668874172185431,0.7301582380332744,0.7353668422948917,0.19186046511627905,0.9793388429752066,0.7485615650172612,0.9787111622554661,0.7832194278624679,0.7724330960964112,0.2386363636363636,0.9256198347107438,0.7701086956521739,0.9815217391304348
margin0.05_minp0.65_confirm2,0.05,0.65,2,0.7780855093024106,0.7811152595062383,0.10769230769230768,1.9090909090909092,1.746556473829201,0.8219684058458256,0.8083567440610726,0.11702127659574467,1.9090909090909092,0.8176895306859205,0.9993983152827918,0.8474961823811166,0.8431806372466498,0.14990859232175505,1.6983471074380165,0.8419117647058824,0.9989495798319328,0.8277887573502506,0.8236299070528112,0.111731843575419,1.7479338842975207,0.8247252747252747,0.9945054945054945,0.8656900941793046,0.8599861349221963,0.15412844036697246,1.7107438016528926,0.8593988792664289,0.9989811512990321,0.7780855093024106,0.7811152595062383,0.10769230769230768,1.7272727272727273,0.7974683544303798,0.996547756041427,0.8183220537298286,0.808371081256081,0.11089866156787762,1.6859504132231404,0.8108695652173913,0.9951086956521739
margin0.05_minp0.65_confirm3,0.05,0.65,3,0.72823944014948,0.7347739767218604,0.17506631299734748,1.1487603305785123,1.0853994490358128,0.7820825268222158,0.7721232311695037,0.19270833333333334,1.1487603305785123,0.7701564380264742,0.98014440433213,0.8176755852207688,0.8189311433443457,0.2355889724310777,1.06198347107438,0.8119747899159664,0.9884453781512605,0.7916617346832022,0.795557704861289,0.1962864721485411,1.0578512396694215,0.7895604395604395,0.9758241758241758,0.8391563909447228,0.8365097654964135,0.23267326732673266,1.1074380165289257,0.8288334182373918,0.9847172694854814,0.72823944014948,0.7347739767218604,0.17506631299734748,1.115702479338843,0.7560414269275029,0.9781357882623706,0.801180420813083,0.7876715875369276,0.19999999999999996,1.0206611570247934,0.7842391304347827,0.9842391304347826
