pair_id,symbol,event_day,control_day,calendar_year,parent_direction,side,clock_bucket,horizon,event_bp,control_bp,difference_bp
000852.SH:DEV_R1_A:34041:19403,000852.SH,2015-07-31,2015-05-06,2015,1,LONG,28,60,-392.758403518,-228.317773556,-164.440629963
000852.SH:DEV_R1_A:34055:57583,000852.SH,2015-07-31,2015-12-25,2015,-1,SHORT,29,60,258.579616355,-103.424216753,362.003833108
000852.SH:DEV_R1_A:34086:19448,000852.SH,2015-08-03,2015-05-07,2015,-1,SHORT,19,60,66.115775529,0.934929885286,65.1808456437
000852.SH:DEV_R1_A:34098:19468,000852.SH,2015-08-03,2015-05-07,2015,-1,SHORT,19,60,26.9234890699,57.7569812781,-30.8334922082
000852.SH:DEV_R1_A:34133:19492,000852.SH,2015-08-03,2015-05-07,2015,-1,SHORT,20,60,247.080761643,-41.6917908519,288.772552495
000852.SH:DEV_R1_A:34161:42801,000852.SH,2015-08-03,2015-09-24,2015,1,LONG,21,60,-135.745547833,-0.329228112029,-135.416319721
000852.SH:DEV_R1_A:34219:19560,000852.SH,2015-08-03,2015-05-07,2015,-1,SHORT,26,60,193.808566583,52.0221242821,141.786442301
000852.SH:DEV_R1_A:34249:4719,000852.SH,2015-08-03,2015-01-30,2015,-1,SHORT,27,60,23.1540294794,48.294423612,-25.1403941325
000852.SH:DEV_R1_A:34297:26131,000852.SH,2015-08-03,2015-06-15,2015,-1,SHORT,29,60,-78.4713662871,356.456208094,-434.927574381
000852.SH:DEV_R1_A:34327:42740,000852.SH,2015-08-04,2015-09-24,2015,1,LONG,19,60,-42.1807659783,0.885990714816,-43.0667566931
000852.SH:DEV_R1_A:34352:35071,000852.SH,2015-08-04,2015-08-07,2015,1,LONG,20,60,3.72002777018,54.2857112593,-50.5656834892
000852.SH:DEV_R1_A:34479:13350,000852.SH,2015-08-04,2015-03-30,2015,1,LONG,27,60,135.693592131,64.4372270648,71.256365066
000852.SH:DEV_R1_A:34526:19860,000852.SH,2015-08-04,2015-05-08,2015,1,LONG,28,60,205.939868003,322.023622912,-116.083754909
000852.SH:DEV_R1_A:34583:2888,000852.SH,2015-08-05,2015-01-21,2015,1,LONG,19,60,-13.3458136459,48.0059662767,-61.3517799226
000852.SH:DEV_R1_A:34628:19047,000852.SH,2015-08-05,2015-05-05,2015,1,LONG,21,60,-175.904881459,-84.1083640551,-91.7965174041
