symbol,horizon,view,lag_trading_days,products,event_lag_product_bp2,control_lag_product_bp2,event_control_lag_product_bp2,control_event_lag_product_bp2,difference_lag_product_bp2,mean_variance_estimator
000688.SH,15,SIGNED,60,50,163.225896822,-18.099052461,-20.8019057706,237.493390808,-71.5646406759,False
000688.SH,15,UNSIGNED,0,110,1283.22997179,3016.59875635,164.101488176,164.101488176,3971.62575179,False
000688.SH,15,UNSIGNED,1,109,42.9313468274,65.7387297397,-34.4764184504,9.81984076407,133.326654253,False
000688.SH,15,UNSIGNED,5,105,-128.878316158,29.7825260308,-46.6407299899,-26.5903718593,-25.864688278,False
000688.SH,15,UNSIGNED,20,90,-89.6277696174,72.6802964276,101.857503276,7.3889587317,-126.193935198,False
000688.SH,15,UNSIGNED,60,50,177.698986427,-31.498705991,-11.4064970642,164.943879586,-7.3371020857,False
000688.SH,30,SIGNED,0,110,2259.18794098,6255.91455741,394.854790074,394.854790074,7725.39291824,False
000688.SH,30,SIGNED,1,109,201.586096801,-797.747637349,-56.4696494806,-53.2632322173,-486.428658851,False
000688.SH,30,SIGNED,5,105,-471.471643278,215.895039112,106.097985987,348.502160758,-710.176750911,False
000688.SH,30,SIGNED,20,90,212.024739742,-154.71687214,185.905999508,63.6941853785,-192.292317284,False
000688.SH,30,SIGNED,60,50,386.655189663,-3.7207087667,-29.5337948017,-388.776360997,801.244636694,False
000688.SH,30,UNSIGNED,0,110,2777.90062453,6351.11161603,430.006937052,430.006937052,8268.99836646,False
000688.SH,30,UNSIGNED,1,109,-337.596681134,270.061603472,-277.485716539,242.88578952,-32.9351506426,False
000688.SH,30,UNSIGNED,5,105,-374.29462305,-27.4990239312,-241.585464532,-315.932226283,155.724043834,False
000688.SH,30,UNSIGNED,20,90,-11.700711426,-77.1397173969,132.029861609,-66.845182478,-154.025107953,False
000688.SH,30,UNSIGNED,60,50,315.308421194,-61.6709182957,-221.045037059,-775.966394372,1250.64893433,False
000688.SH,60,SIGNED,0,110,6523.09197077,15530.0808561,336.921252247,336.921252247,21379.3303224,False
000688.SH,60,SIGNED,1,109,927.381228405,-2000.11944813,423.90938103,998.014844251,-2494.66244501,False
000688.SH,60,SIGNED,5,105,-934.045797553,1749.33307033,1253.24550082,-554.185115671,116.226887634,False
000688.SH,60,SIGNED,20,90,173.6431618,992.241605009,662.129978647,556.554850081,-52.8000619198,False
