symbol,horizon,n,strata,singleton_strata,minimum_stratum_n,ex_post_not_causally_available,reconstruction_error_bp2,component,event_var_bp2,control_var_bp2,event_control_cov_bp2,covariance_term_bp2,difference_var_bp2,event_sd_bp,control_sd_bp,difference_sd_bp,event_control_correlation,event_share_of_difference,control_share_of_difference,covariance_share_of_difference,cancellation_relative_to_marginal_sum
000688.SH,1,156,17,1,1,True,2.13162820728e-14,BETWEEN,10.5895719315,5.0143800827,-1.47498321628,2.94996643256,18.5539184467,3.25416224726,2.23928115312,4.30742596532,-0.202413395985,0.570745848747,0.270259896695,0.158994254557,-0.189052518867
000688.SH,5,156,17,1,1,True,3.90798504668e-13,TOTAL,882.596282775,764.972838445,-60.3953308627,120.790661725,1768.35978295,29.7085220564,27.6581423535,42.051870148,-0.0735020260257,0.49910447596,0.432588914215,0.0683066098259,-0.0733144729224
000688.SH,5,156,17,1,1,True,3.90798504668e-13,WITHIN,815.324476223,725.141025795,-61.5097418891,123.019483778,1663.4849858,28.5538872349,26.9284426916,40.785842958,-0.0799958442654,0.490130348746,0.435916784333,0.0739528669202,-0.0798586424799
000688.SH,5,156,17,1,1,True,3.90798504668e-13,BETWEEN,67.2718065526,39.83181265,1.11441102642,-2.22882205283,104.87479715,8.20193919464,6.31124493662,10.2408396702,0.021528502407,0.641448740602,0.379803477409,-0.0212522180105,0.0208099601995
000688.SH,15,156,17,1,1,True,4.54747350886e-13,TOTAL,2011.02550694,1832.11745344,-18.169983835,36.3399676699,3879.48292804,44.8444590439,42.8032411557,62.2854953263,-0.00946605656797,0.518374624721,0.472258155898,0.00936721938052,-0.00945579387618
000688.SH,15,156,17,1,1,True,4.54747350886e-13,WITHIN,1819.66607361,1675.63396824,-30.378357709,60.756715418,3556.05675727,42.6575441582,40.9345082813,59.632681956,-0.0173971803149,0.511708951184,0.471205631016,0.0170854177999,-0.0173824034248
000688.SH,15,156,17,1,1,True,4.54747350886e-13,BETWEEN,191.359433324,156.4834852,12.208373874,-24.4167477481,323.426170776,13.8332726903,12.5093359216,17.9840532355,0.0705502614655,0.591663416923,0.483830621452,-0.0754940383751,0.0701947529985
000688.SH,30,156,17,1,1,True,1.98951966013e-12,TOTAL,3653.30185317,3016.87698452,238.369375156,-476.738750312,6193.44008737,60.442550022,54.9261047638,78.698412229,0.0718007331076,0.589866342715,0.487108447318,-0.0769747900338,0.0714731586534
000688.SH,30,156,17,1,1,True,1.98951966013e-12,WITHIN,3352.96678555,2580.45396596,42.038127827,-84.076255654,5849.34449586,57.9048079658,50.7981689233,76.4810074192,0.0142915944177,0.573220946027,0.44115267408,-0.0143736201062,0.0141699466758
000688.SH,30,156,17,1,1,True,1.98951966013e-12,BETWEEN,300.335067613,436.423018557,196.331247329,-392.662494658,344.095591512,17.3301779452,20.8907400194,18.5498137864,0.542291227836,0.872824514529,1.26831912214,-1.14114363667,0.532959871129
000688.SH,60,156,17,1,1,True,2.95585778076e-12,TOTAL,8051.83145823,6320.18656709,-748.807936747,1497.61587349,15869.6338988,89.7319979619,79.4996010499,125.974735161,-0.104968297136,0.507373485083,0.398256608022,0.0943699068954,-0.10420358998
000688.SH,60,156,17,1,1,True,2.95585778076e-12,WITHIN,7802.29686692,4939.30384945,-939.432448453,1878.86489691,14620.4656133,88.3306111545,70.2801810573,120.915117389,-0.151328751788,0.533655840607,0.337834921274,0.128509238119,-0.147459093934
000688.SH,60,156,17,1,1,True,2.95585778076e-12,BETWEEN,249.534591314,1380.88271764,190.624511706,-381.249023411,1249.16828554,15.7966639299,37.1602303227,35.3435748834,0.324739388358,0.199760588067,1.10544170359,-0.305202291657,0.233835240413
000688.SH,120,156,17,1,1,True,4.09272615798e-12,TOTAL,17748.9299384,9493.6360071,-38.8355312771,77.6710625542,27320.2370081,133.225110015,97.4352913841,165.288345046,-0.0029917608515,0.649662370541,0.347494643048,0.00284298641082,-0.00285109202671
000688.SH,120,156,17,1,1,True,4.09272615798e-12,WITHIN,17104.3737971,7282.79805558,-407.668929055,815.337858109,25202.5097108,130.783690868,85.3393113142,158.752983313,-0.0365262333398,0.678677401313,0.288971143714,0.0323514549728,-0.0334330632119
000688.SH,120,156,17,1,1,True,4.09272615798e-12,BETWEEN,644.556141333,2210.83795152,368.833397777,-737.666795555,2117.7272973,25.3881102356,47.0195486103,46.0187711407,0.308973625209,0.304362201005,1.04396725411,-0.348329455118,0.258341500881
000688.SH,240,156,17,1,1,True,2.54658516496e-11,TOTAL,44308.6553268,25055.6741679,1811.51185835,-3623.02371671,65741.305778,210.496212144,158.289842276,256.400674293,0.0543680616691,0.673985020566,0.381125289061,-0.055110309627,0.0522317990111
000688.SH,240,156,17,1,1,True,2.54658516496e-11,WITHIN,41853.9129303,20534.6463081,1202.68251911,-2405.36503823,59983.1942002,204.582288897,143.299149712,244.914667181,0.0410241273699,0.697760655937,0.342339993425,-0.0401006493619,0.0385545854495
000688.SH,240,156,17,1,1,True,2.54658516496e-11,BETWEEN,2454.74239647,4521.02785977,608.82933924,-1217.65867848,5758.11157776,49.5453569618,67.2385890674,75.8822217503,0.182756999566,0.426310321243,0.785158085028,-0.211468406271,0.174555444596
