day,event_contribution_bp,control_contribution_bp,difference_contribution_bp,symbol,horizon,view
2015-11-11,9.80736152662,0,9.80736152662,000852.SH,1,SIGNED
2015-11-12,3.38418400954,0,3.38418400954,000852.SH,1,SIGNED
2015-11-13,6.53863144472,0,6.53863144472,000852.SH,1,SIGNED
2015-11-16,-3.53862444264,0,-3.53862444264,000852.SH,1,SIGNED
2015-11-17,-0.368134028692,0,-0.368134028692,000852.SH,1,SIGNED
2015-11-18,15.6598618033,73.3605174184,-57.7006556151,000852.SH,1,SIGNED
2015-11-19,11.0347201099,0,11.0347201099,000852.SH,1,SIGNED
2015-11-20,11.2075541928,0,11.2075541928,000852.SH,1,SIGNED
2015-11-23,1.08675040409,0,1.08675040409,000852.SH,1,SIGNED
2015-11-24,25.6196448997,0,25.6196448997,000852.SH,1,SIGNED
2015-11-25,9.83458198433,0,9.83458198433,000852.SH,1,SIGNED
2015-11-26,-11.1856698154,0,-11.1856698154,000852.SH,1,SIGNED
2015-11-27,2.40841799697,0,2.40841799697,000852.SH,1,SIGNED
2015-11-30,38.6999517224,0,38.6999517224,000852.SH,1,SIGNED
2015-12-01,-18.5024738816,0,-18.5024738816,000852.SH,1,SIGNED
2015-12-02,-35.1802884148,0,-35.1802884148,000852.SH,1,SIGNED
2015-12-03,-1.07070179921,0,-1.07070179921,000852.SH,1,SIGNED
2015-12-04,13.7059981788,0,13.7059981788,000852.SH,1,SIGNED
2015-12-07,-0.327356418644,7.52535573465,-7.85271215329,000852.SH,1,SIGNED
2015-12-08,-20.1245209895,0,-20.1245209895,000852.SH,1,SIGNED
2015-12-09,-8.4313841554,0,-8.4313841554,000852.SH,1,SIGNED
2015-12-10,-4.10047805048,10.6440244199,-14.7445024704,000852.SH,1,SIGNED
2015-12-11,17.765424948,0,17.765424948,000852.SH,1,SIGNED
2015-12-14,-4.79218807625,0,-4.79218807625,000852.SH,1,SIGNED
2015-12-15,0.910523802451,15.6811820109,-14.7706582084,000852.SH,1,SIGNED
2015-12-16,-2.30859233469,0.828601469025,-3.13719380371,000852.SH,1,SIGNED
2015-12-17,2.62383152155,0,2.62383152155,000852.SH,1,SIGNED
2015-12-18,-4.57066759566,0,-4.57066759566,000852.SH,1,SIGNED
2015-12-21,0,-13.3551104378,13.3551104378,000852.SH,1,SIGNED
