symbol,horizon,view,n,event_var_bp2,control_var_bp2,event_control_cov_bp2,covariance_term_bp2,difference_var_bp2,event_sd_bp,control_sd_bp,difference_sd_bp,event_control_correlation,event_share_of_difference,control_share_of_difference,covariance_share_of_difference,cancellation_relative_to_marginal_sum,top_1pct_centered_square_share,top_5pct_centered_square_share,variance_identity_error_bp2
000852.SH,5,POOLED_SIGNED,1752,1966.1091605,1335.39682348,234.535946487,-469.071892974,2832.43409102,44.3408294973,36.5430817459,53.2206171612,0.144743954001,0.694141186459,0.471466159697,-0.165607346156,0.142078159255,0.358180338295,0.671335605827,0
000852.SH,5,POOLED_UNSIGNED,1752,1974.6612232,1350.30556897,223.199961241,-446.399922482,2878.56686969,44.4371603863,36.7465041734,53.6522773951,0.136688439835,0.685987615572,0.469089526176,-0.155077141748,0.134256956651,0.357395352001,0.671376245244,0
000852.SH,5,YEAR_2015,645,3343.71543817,2908.44047743,494.246583857,-988.493167713,5263.66274789,57.8248686827,53.9299589971,72.5511043878,0.158488929114,0.635244999219,0.55255068889,-0.187795688109,0.158104369286,0.228744344636,0.598248555537,9.09494701773e-13
000852.SH,5,YEAR_2016,326,2437.70888591,597.096682218,130.149276712,-260.298553423,2774.5070147,49.3731595698,24.4355618355,52.6735893471,0.107876912872,0.878609739673,0.21520820782,-0.0938179474926,0.0857710807431,0.41006293422,0.650504263526,1.81898940355e-12
000852.SH,5,YEAR_2017,96,178.017333719,102.929363821,55.6884749313,-111.376949863,169.569747678,13.3423136569,10.1454109735,13.0218949342,0.411400233928,1.04981776618,0.607003107754,-0.656820873935,0.396434451224,0.186733168926,0.575630157158,1.42108547152e-13
000852.SH,5,YEAR_2018,209,388.895018542,269.494554989,48.2423460252,-96.4846920504,561.904881481,19.7204213581,16.4162893185,23.7045329311,0.149017485823,0.692101156902,0.479608851731,-0.171710008634,0.146546506703,0.193623755909,0.483572802159,2.27373675443e-13
000852.SH,5,YEAR_2019,201,385.076153928,248.845353463,63.7126569204,-127.425313841,506.49619355,19.6233573562,15.7748329139,22.5054703028,0.205820029241,0.760274526901,0.491307450345,-0.251581977246,0.201011185699,0.264271223074,0.554339252992,3.97903932026e-13
000852.SH,5,YEAR_2020,275,1077.02740123,394.017433811,104.383308541,-208.766617082,1262.27821796,32.8180956368,19.8498723878,35.5285549658,0.160235951206,0.853240898802,0.312147851564,-0.165388750365,0.141917236041,0.267763880998,0.647215815043,4.54747350886e-13
000852.SH,5,LONG,919,982.191442896,381.042200166,52.7169792384,-105.433958477,1257.79968459,31.3399336773,19.520302256,35.4654717237,0.0861719469546,0.780880656064,0.302943469326,-0.0838241253904,0.0773410772345,0.330532555723,0.592390103336,2.27373675443e-13
000852.SH,5,SHORT,833,3050.14776788,2383.79281086,437.685807256,-875.371614512,4558.56896423,55.2281428972,48.8241007174,67.5171753277,0.162318406811,0.669102034391,0.522925687769,-0.192027722161,0.161093335827,0.273196176285,0.642428231756,3.63797880709e-12
000852.SH,15,POOLED_SIGNED,1752,5004.92189922,2493.97030175,333.225783539,-666.451567078,6832.44063389,70.7454726411,49.9396666163,82.6585787072,0.0943179399736,0.732523291076,0.36501894936,-0.0975422404363,0.0888733361165,0.321328732324,0.602329054846,9.09494701773e-13
000852.SH,15,POOLED_UNSIGNED,1752,5004.91480169,2527.38088807,342.179627691,-684.359255381,6847.93643437,70.7454224787,50.2730632453,82.7522593914,0.0962100535669,0.730864669912,0.369071896664,-0.0999365665759,0.0908566635683,0.321470593787,0.603050624034,1.81898940355e-12
000852.SH,15,YEAR_2015,645,8583.85243713,4683.86235668,473.555827746,-947.111655491,12320.6031383,92.649082225,68.4387489415,110.99821232,0.0746840742291,0.696707161229,0.380165021476,-0.0768721827055,0.0713846860752,0.281192602793,0.517073459571,1.81898940355e-12
000852.SH,15,YEAR_2016,326,5942.82535069,1116.97527006,307.341755231,-614.683510462,6445.1171103,77.0897227307,33.4211799622,80.281486722,0.119289798395,0.922066309889,0.1733056593,-0.095371969189,0.0870681119032,0.350660305141,0.592974509753,1.81898940355e-12
000852.SH,15,YEAR_2017,96,557.81168725,266.555418029,173.923604594,-347.847209188,476.519896091,23.6180373285,16.3265249833,21.8293356768,0.451046135039,1.17059474709,0.559379409371,-0.729974156465,0.421956682843,0.183273035423,0.57145720283,1.13686837722e-13
000852.SH,15,YEAR_2018,209,1160.04069451,974.789070923,246.038282658,-492.076565317,1642.75320012,34.0593701426,31.2216122409,40.5308919235,0.231371972468,0.706156405252,0.593387412579,-0.299543817831,0.230499205737,0.182902666449,0.419843724108,4.54747350886e-13
000852.SH,15,YEAR_2019,201,1515.0331468,1158.4864366,346.330883982,-692.661767963,1980.85781544,38.9234267094,34.0365456032,44.506828863,0.261417512173,0.764836897931,0.584840783407,-0.349677681338,0.259082361791,0.250395511176,0.507345431593,0
000852.SH,15,YEAR_2020,275,2493.41696177,1619.79901495,82.4625581383,-164.925116277,3948.29086044,49.9341262241,40.2467267608,62.8354267945,0.0410325760667,0.631518054241,0.410253213912,-0.0417712681527,0.0400963910502,0.308127789142,0.578395452353,4.54747350886e-13
000852.SH,15,LONG,919,2728.9618485,1138.75630483,124.731213127,-249.462426253,3618.25572707,52.239466388,33.7454634703,60.1519386809,0.0707556323974,0.754220280253,0.314725213121,-0.0689454933731,0.0644986052147,0.209963621761,0.51702573947,1.36424205266e-12
000852.SH,15,SHORT,833,7512.93874824,3983.59771391,567.250766178,-1134.50153236,10362.0349298,86.6772100857,63.1157485411,101.794081015,0.10368893883,0.725044723275,0.384441641135,-0.10948636441,0.0986820279388,0.342241604737,0.598229950627,1.09139364213e-11
000852.SH,30,POOLED_SIGNED,1752,9969.95366637,4745.42150213,765.56682311,-1531.13364622,13184.2415223,99.8496553142,68.8870198378,114.822652479,0.111301018248,0.756202292678,0.359931323627,-0.116133616305,0.104049922526,0.29051809654,0.584564405838,3.63797880709e-12
000852.SH,30,POOLED_UNSIGNED,1752,9966.07194751,4796.07678357,778.080017577,-1556.16003515,13205.9886959,99.8302156039,69.2537131393,114.917312429,0.112543181798,0.754663068172,0.363174382017,-0.117837450189,0.105415550507,0.290456892652,0.584447355241,1.81898940355e-12
000852.SH,30,YEAR_2015,645,15945.0066786,9215.66412956,1075.86734828,-2151.73469655,23008.9361116,126.273539107,95.9982506589,151.686967508,0.0887530027588,0.692991914153,0.400525434329,-0.093517348482,0.0855197666611,0.214758856204,0.482417134738,3.63797880709e-12
